fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1035040,2023-08-12T14:00:00+00:00,1359,Luton,Brighton,False,1,4,L
1035062,2023-08-25T19:00:00+00:00,1359,Luton,Chelsea,False,0,3,L
1035074,2023-09-01T19:00:00+00:00,1359,Luton,West Ham,True,1,2,L
1035080,2023-09-16T14:00:00+00:00,1359,Luton,Fulham,False,0,1,L
1035094,2023-09-23T14:00:00+00:00,1359,Luton,Wolves,True,1,1,D
1035099,2023-09-30T14:00:00+00:00,1359,Luton,Everton,False,2,1,W
1035051,2023-10-03T18:30:00+00:00,1359,Luton,Burnley,True,1,2,L
1035113,2023-10-07T11:30:00+00:00,1359,Luton,Tottenham,True,0,1,L
1035124,2023-10-21T14:00:00+00:00,1359,Luton,Nottingham Forest,False,2,2,D
1035129,2023-10-29T14:00:00+00:00,1359,Luton,Aston Villa,False,1,3,L
1035141,2023-11-05T16:30:00+00:00,1359,Luton,Liverpool,True,1,1,D
1035154,2023-11-11T15:00:00+00:00,1359,Luton,Manchester United,False,0,1,L
1035298,2023-11-25T15:00:00+00:00,1359,Luton,Crystal Palace,True,2,1,W
1035306,2023-12-02T15:00:00+00:00,1359,Luton,Brentford,False,1,3,L
1035318,2023-12-05T20:15:00+00:00,1359,Luton,Arsenal,True,3,4,L
1035329,2023-12-10T14:00:00+00:00,1359,Luton,Manchester City,True,1,2,L
1035348,2023-12-23T15:00:00+00:00,1359,Luton,Newcastle,True,1,0,W
1035363,2023-12-26T15:00:00+00:00,1359,Luton,Sheffield Utd,False,3,2,W
1035368,2023-12-30T12:30:00+00:00,1359,Luton,Chelsea,True,2,3,L
1035378,2024-01-12T19:45:00+00:00,1359,Luton,Burnley,False,1,1,D
1035386,2024-01-30T19:45:00+00:00,1359,Luton,Brighton,True,4,0,W
1035402,2024-02-03T15:00:00+00:00,1359,Luton,Newcastle,False,4,4,D
1035408,2024-02-10T15:00:00+00:00,1359,Luton,Sheffield Utd,True,1,3,L
1035418,2024-02-18T16:30:00+00:00,1359,Luton,Manchester United,True,1,2,L
1035430,2024-02-21T19:30:00+00:00,1359,Luton,Liverpool,False,1,4,L
1035438,2024-03-02T17:30:00+00:00,1359,Luton,Aston Villa,True,2,3,L
1035449,2024-03-09T15:00:00+00:00,1359,Luton,Crystal Palace,False,1,1,D
1035334,2024-03-13T19:30:00+00:00,1359,Luton,Bournemouth,False,3,4,L
1035460,2024-03-16T15:00:00+00:00,1359,Luton,Nottingham Forest,True,1,1,D
1035473,2024-03-30T15:00:00+00:00,1359,Luton,Tottenham,False,1,2,L
1035475,2024-04-03T18:30:00+00:00,1359,Luton,Arsenal,False,0,2,L
1035489,2024-04-06T14:00:00+00:00,1359,Luton,Bournemouth,True,2,1,W
1035500,2024-04-13T14:00:00+00:00,1359,Luton,Manchester City,False,1,5,L
1035509,2024-04-20T14:00:00+00:00,1359,Luton,Brentford,True,1,5,L
1035523,2024-04-27T14:00:00+00:00,1359,Luton,Wolves,False,1,2,L
1035531,2024-05-03T19:00:00+00:00,1359,Luton,Everton,True,1,1,D
1035542,2024-05-11T14:00:00+00:00,1359,Luton,West Ham,False,1,3,L
1035551,2024-05-19T15:00:00+00:00,1359,Luton,Fulham,True,2,4,L
