fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871166,2022-08-06T13:30:00+00:00,159,Hertha Berlin,Union Berlin,False,1,3,L
871179,2022-08-13T13:30:00+00:00,159,Hertha Berlin,Eintracht Frankfurt,True,1,1,D
871185,2022-08-19T18:30:00+00:00,159,Hertha Berlin,Borussia Monchengladbach,False,0,1,L
871197,2022-08-27T13:30:00+00:00,159,Hertha Berlin,Borussia Dortmund,True,0,1,L
871207,2022-09-04T13:30:00+00:00,159,Hertha Berlin,FC Augsburg,False,2,0,W
871215,2022-09-10T13:30:00+00:00,159,Hertha Berlin,Bayer Leverkusen,True,2,2,D
871222,2022-09-16T18:30:00+00:00,159,Hertha Berlin,FSV Mainz 05,False,1,1,D
871233,2022-10-02T13:30:00+00:00,159,Hertha Berlin,1899 Hoffenheim,True,1,1,D
871244,2022-10-09T15:30:00+00:00,159,Hertha Berlin,SC Freiburg,True,2,2,D
871246,2022-10-15T16:30:00+00:00,159,Hertha Berlin,RB Leipzig,False,2,3,L
871262,2022-10-23T15:30:00+00:00,159,Hertha Berlin,FC Schalke 04,True,2,1,W
871271,2022-10-28T18:30:00+00:00,159,Hertha Berlin,Werder Bremen,False,0,1,L
871279,2022-11-05T14:30:00+00:00,159,Hertha Berlin,Bayern Munich,True,2,3,L
871288,2022-11-08T19:30:00+00:00,159,Hertha Berlin,VfB Stuttgart,False,1,2,L
871296,2022-11-12T14:30:00+00:00,159,Hertha Berlin,1. FC Köln,True,2,0,W
871306,2023-01-21T14:30:00+00:00,159,Hertha Berlin,Vfl Bochum,False,1,3,L
871314,2023-01-24T19:30:00+00:00,159,Hertha Berlin,VfL Wolfsburg,True,0,5,L
871323,2023-01-28T14:30:00+00:00,159,Hertha Berlin,Union Berlin,True,0,2,L
871330,2023-02-04T14:30:00+00:00,159,Hertha Berlin,Eintracht Frankfurt,False,0,3,L
871341,2023-02-12T14:30:00+00:00,159,Hertha Berlin,Borussia Monchengladbach,True,4,1,W
871344,2023-02-19T16:30:00+00:00,159,Hertha Berlin,Borussia Dortmund,False,1,4,L
871359,2023-02-25T14:30:00+00:00,159,Hertha Berlin,FC Augsburg,True,2,0,W
871363,2023-03-05T14:30:00+00:00,159,Hertha Berlin,Bayer Leverkusen,False,1,4,L
871377,2023-03-11T14:30:00+00:00,159,Hertha Berlin,FSV Mainz 05,True,1,1,D
871384,2023-03-18T14:30:00+00:00,159,Hertha Berlin,1899 Hoffenheim,False,1,3,L
871392,2023-04-01T13:30:00+00:00,159,Hertha Berlin,SC Freiburg,False,1,1,D
871406,2023-04-08T16:30:00+00:00,159,Hertha Berlin,RB Leipzig,True,0,1,L
871414,2023-04-14T18:30:00+00:00,159,Hertha Berlin,FC Schalke 04,False,2,5,L
871424,2023-04-22T13:30:00+00:00,159,Hertha Berlin,Werder Bremen,True,2,4,L
871425,2023-04-30T13:30:00+00:00,159,Hertha Berlin,Bayern Munich,False,0,2,L
871441,2023-05-06T13:30:00+00:00,159,Hertha Berlin,VfB Stuttgart,True,2,1,W
871447,2023-05-12T18:30:00+00:00,159,Hertha Berlin,1. FC Köln,False,2,5,L
871458,2023-05-20T13:30:00+00:00,159,Hertha Berlin,Vfl Bochum,True,1,1,D
871467,2023-05-27T13:30:00+00:00,159,Hertha Berlin,VfL Wolfsburg,False,2,1,W
