fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871169,2022-08-06T13:30:00+00:00,161,VfL Wolfsburg,Werder Bremen,True,2,2,D
871173,2022-08-14T15:30:00+00:00,161,VfL Wolfsburg,Bayern Munich,False,0,2,L
871187,2022-08-20T13:30:00+00:00,161,VfL Wolfsburg,FC Schalke 04,True,0,0,D
871192,2022-08-27T13:30:00+00:00,161,VfL Wolfsburg,RB Leipzig,False,0,2,L
871205,2022-09-03T13:30:00+00:00,161,VfL Wolfsburg,1. FC Köln,True,2,4,L
871214,2022-09-10T13:30:00+00:00,161,VfL Wolfsburg,Eintracht Frankfurt,False,1,0,W
871221,2022-09-18T13:30:00+00:00,161,VfL Wolfsburg,Union Berlin,False,0,2,L
871232,2022-10-01T13:30:00+00:00,161,VfL Wolfsburg,VfB Stuttgart,True,3,2,W
871242,2022-10-08T13:30:00+00:00,161,VfL Wolfsburg,FC Augsburg,False,1,1,D
871250,2022-10-15T13:30:00+00:00,161,VfL Wolfsburg,Borussia Monchengladbach,True,2,2,D
871255,2022-10-22T13:30:00+00:00,161,VfL Wolfsburg,Bayer Leverkusen,False,2,2,D
871268,2022-10-29T13:30:00+00:00,161,VfL Wolfsburg,Vfl Bochum,True,4,0,W
871275,2022-11-05T14:30:00+00:00,161,VfL Wolfsburg,FSV Mainz 05,False,3,0,W
871286,2022-11-08T17:30:00+00:00,161,VfL Wolfsburg,Borussia Dortmund,True,2,0,W
871293,2022-11-12T14:30:00+00:00,161,VfL Wolfsburg,1899 Hoffenheim,False,2,1,W
871305,2023-01-21T14:30:00+00:00,161,VfL Wolfsburg,SC Freiburg,True,6,0,W
871314,2023-01-24T19:30:00+00:00,161,VfL Wolfsburg,Hertha Berlin,False,5,0,W
871325,2023-01-28T14:30:00+00:00,161,VfL Wolfsburg,Werder Bremen,False,1,2,L
871331,2023-02-05T16:30:00+00:00,161,VfL Wolfsburg,Bayern Munich,True,2,4,L
871342,2023-02-10T19:30:00+00:00,161,VfL Wolfsburg,FC Schalke 04,False,0,0,D
871349,2023-02-18T14:30:00+00:00,161,VfL Wolfsburg,RB Leipzig,True,0,3,L
871356,2023-02-25T14:30:00+00:00,161,VfL Wolfsburg,1. FC Köln,False,2,0,W
871367,2023-03-05T16:30:00+00:00,161,VfL Wolfsburg,Eintracht Frankfurt,True,2,2,D
871376,2023-03-12T18:30:00+00:00,161,VfL Wolfsburg,Union Berlin,True,1,1,D
871388,2023-03-18T14:30:00+00:00,161,VfL Wolfsburg,VfB Stuttgart,False,1,0,W
871395,2023-04-01T13:30:00+00:00,161,VfL Wolfsburg,FC Augsburg,True,2,2,D
871403,2023-04-09T13:30:00+00:00,161,VfL Wolfsburg,Borussia Monchengladbach,False,0,2,L
871412,2023-04-16T17:30:00+00:00,161,VfL Wolfsburg,Bayer Leverkusen,True,0,0,D
871422,2023-04-22T13:30:00+00:00,161,VfL Wolfsburg,Vfl Bochum,False,5,1,W
871430,2023-04-30T15:30:00+00:00,161,VfL Wolfsburg,FSV Mainz 05,True,3,0,W
871434,2023-05-07T15:30:00+00:00,161,VfL Wolfsburg,Borussia Dortmund,False,0,6,L
871449,2023-05-13T13:30:00+00:00,161,VfL Wolfsburg,1899 Hoffenheim,True,2,1,W
871454,2023-05-19T18:30:00+00:00,161,VfL Wolfsburg,SC Freiburg,False,0,2,L
871467,2023-05-27T13:30:00+00:00,161,VfL Wolfsburg,Hertha Berlin,True,1,2,L
1048886,2023-08-19T13:30:00+00:00,161,VfL Wolfsburg,FC Heidenheim,True,2,0,W
1048895,2023-08-26T13:30:00+00:00,161,VfL Wolfsburg,1. FC Köln,False,2,1,W
1048904,2023-09-02T13:30:00+00:00,161,VfL Wolfsburg,1899 Hoffenheim,False,1,3,L
1048911,2023-09-16T13:30:00+00:00,161,VfL Wolfsburg,Union Berlin,True,2,1,W
1048918,2023-09-23T13:30:00+00:00,161,VfL Wolfsburg,Borussia Dortmund,False,0,1,L
1048928,2023-09-30T13:30:00+00:00,161,VfL Wolfsburg,Eintracht Frankfurt,True,2,0,W
