fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871170,2022-08-06T13:30:00+00:00,164,FSV Mainz 05,Vfl Bochum,False,2,1,W
871177,2022-08-14T13:30:00+00:00,164,FSV Mainz 05,Union Berlin,True,0,0,D
871189,2022-08-20T13:30:00+00:00,164,FSV Mainz 05,FC Augsburg,False,2,1,W
871195,2022-08-27T13:30:00+00:00,164,FSV Mainz 05,Bayer Leverkusen,True,0,3,L
871203,2022-09-04T15:30:00+00:00,164,FSV Mainz 05,Borussia Monchengladbach,False,1,0,W
871213,2022-09-10T13:30:00+00:00,164,FSV Mainz 05,1899 Hoffenheim,False,1,4,L
871222,2022-09-16T18:30:00+00:00,164,FSV Mainz 05,Hertha Berlin,True,1,1,D
871229,2022-10-01T13:30:00+00:00,164,FSV Mainz 05,SC Freiburg,False,1,2,L
871238,2022-10-08T13:30:00+00:00,164,FSV Mainz 05,RB Leipzig,True,1,1,D
871253,2022-10-15T13:30:00+00:00,164,FSV Mainz 05,Werder Bremen,False,2,0,W
871257,2022-10-21T18:30:00+00:00,164,FSV Mainz 05,1. FC Köln,True,5,0,W
871263,2022-10-29T13:30:00+00:00,164,FSV Mainz 05,Bayern Munich,False,2,6,L
871275,2022-11-05T14:30:00+00:00,164,FSV Mainz 05,VfL Wolfsburg,True,0,3,L
871289,2022-11-09T19:30:00+00:00,164,FSV Mainz 05,FC Schalke 04,False,0,1,L
871292,2022-11-13T14:30:00+00:00,164,FSV Mainz 05,Eintracht Frankfurt,True,1,1,D
871307,2023-01-21T14:30:00+00:00,164,FSV Mainz 05,VfB Stuttgart,False,1,1,D
871311,2023-01-25T17:30:00+00:00,164,FSV Mainz 05,Borussia Dortmund,True,1,2,L
871321,2023-01-28T14:30:00+00:00,164,FSV Mainz 05,Vfl Bochum,True,5,2,W
871327,2023-02-04T14:30:00+00:00,164,FSV Mainz 05,Union Berlin,False,1,2,L
871339,2023-02-11T14:30:00+00:00,164,FSV Mainz 05,FC Augsburg,True,3,1,W
871345,2023-02-19T18:30:00+00:00,164,FSV Mainz 05,Bayer Leverkusen,False,3,2,W
871357,2023-02-24T19:30:00+00:00,164,FSV Mainz 05,Borussia Monchengladbach,True,4,0,W
871365,2023-03-04T14:30:00+00:00,164,FSV Mainz 05,1899 Hoffenheim,True,1,0,W
871377,2023-03-11T14:30:00+00:00,164,FSV Mainz 05,Hertha Berlin,False,1,1,D
871383,2023-03-19T18:30:00+00:00,164,FSV Mainz 05,SC Freiburg,True,1,1,D
871390,2023-04-01T13:30:00+00:00,164,FSV Mainz 05,RB Leipzig,False,3,0,W
871401,2023-04-08T13:30:00+00:00,164,FSV Mainz 05,Werder Bremen,True,2,2,D
871410,2023-04-15T13:30:00+00:00,164,FSV Mainz 05,1. FC Köln,False,1,1,D
871419,2023-04-22T13:30:00+00:00,164,FSV Mainz 05,Bayern Munich,True,3,1,W
871430,2023-04-30T15:30:00+00:00,164,FSV Mainz 05,VfL Wolfsburg,False,0,3,L
871437,2023-05-05T18:30:00+00:00,164,FSV Mainz 05,FC Schalke 04,True,2,3,L
871448,2023-05-13T13:30:00+00:00,164,FSV Mainz 05,Eintracht Frankfurt,False,0,3,L
871455,2023-05-21T13:30:00+00:00,164,FSV Mainz 05,VfB Stuttgart,True,1,4,L
871461,2023-05-27T13:30:00+00:00,164,FSV Mainz 05,Borussia Dortmund,False,2,2,D
1048883,2023-08-20T13:30:00+00:00,164,FSV Mainz 05,Union Berlin,False,1,4,L
1048893,2023-08-27T13:30:00+00:00,164,FSV Mainz 05,Eintracht Frankfurt,True,1,1,D
1048905,2023-09-02T13:30:00+00:00,164,FSV Mainz 05,Werder Bremen,False,0,4,L
1048912,2023-09-16T13:30:00+00:00,164,FSV Mainz 05,VfB Stuttgart,True,1,3,L
1048924,2023-09-23T13:30:00+00:00,164,FSV Mainz 05,FC Augsburg,False,1,2,L
1048929,2023-09-30T13:30:00+00:00,164,FSV Mainz 05,Bayer Leverkusen,True,0,3,L
1048940,2023-10-06T18:30:00+00:00,164,FSV Mainz 05,Borussia Monchengladbach,False,2,2,D
1048948,2023-10-21T16:30:00+00:00,164,FSV Mainz 05,Bayern Munich,True,1,3,L
1048959,2023-10-27T18:30:00+00:00,164,FSV Mainz 05,Vfl Bochum,False,2,2,D
1048966,2023-11-04T14:30:00+00:00,164,FSV Mainz 05,RB Leipzig,True,2,0,W
1048979,2023-11-11T14:30:00+00:00,164,FSV Mainz 05,SV Darmstadt 98,False,0,0,D
1048986,2023-11-26T16:30:00+00:00,164,FSV Mainz 05,1899 Hoffenheim,False,1,1,D
1048992,2023-12-03T14:30:00+00:00,164,FSV Mainz 05,SC Freiburg,True,0,1,L
1049002,2023-12-10T16:30:00+00:00,164,FSV Mainz 05,1. FC Köln,False,0,0,D
1049011,2023-12-16T14:30:00+00:00,164,FSV Mainz 05,FC Heidenheim,True,0,1,L
1049016,2023-12-19T19:30:00+00:00,164,FSV Mainz 05,Borussia Dortmund,False,1,1,D
1049028,2024-01-13T14:30:00+00:00,164,FSV Mainz 05,VfL Wolfsburg,True,1,1,D
1049046,2024-01-26T19:30:00+00:00,164,FSV Mainz 05,Eintracht Frankfurt,False,0,1,L
1049056,2024-02-03T14:30:00+00:00,164,FSV Mainz 05,Werder Bremen,True,0,1,L
1049037,2024-02-07T17:30:00+00:00,164,FSV Mainz 05,Union Berlin,True,1,1,D
1049069,2024-02-11T14:30:00+00:00,164,FSV Mainz 05,VfB Stuttgart,False,1,3,L
1049073,2024-02-17T14:30:00+00:00,164,FSV Mainz 05,FC Augsburg,True,1,0,W
1049082,2024-02-23T19:30:00+00:00,164,FSV Mainz 05,Bayer Leverkusen,False,1,2,L
1049091,2024-03-02T14:30:00+00:00,164,FSV Mainz 05,Borussia Monchengladbach,True,1,1,D
1049097,2024-03-09T14:30:00+00:00,164,FSV Mainz 05,Bayern Munich,False,1,8,L
1049110,2024-03-16T14:30:00+00:00,164,FSV Mainz 05,Vfl Bochum,True,2,0,W
1049116,2024-03-30T14:30:00+00:00,164,FSV Mainz 05,RB Leipzig,False,0,0,D
1049129,2024-04-06T13:30:00+00:00,164,FSV Mainz 05,SV Darmstadt 98,True,4,0,W
1049136,2024-04-13T13:30:00+00:00,164,FSV Mainz 05,1899 Hoffenheim,True,4,1,W
1049144,2024-04-21T17:30:00+00:00,164,FSV Mainz 05,SC Freiburg,False,1,1,D
1049155,2024-04-28T15:30:00+00:00,164,FSV Mainz 05,1. FC Köln,True,1,1,D
1049168,2024-05-05T17:30:00+00:00,164,FSV Mainz 05,FC Heidenheim,False,1,1,D
1049172,2024-05-11T16:30:00+00:00,164,FSV Mainz 05,Borussia Dortmund,True,3,0,W
1049182,2024-05-18T13:30:00+00:00,164,FSV Mainz 05,VfL Wolfsburg,False,3,1,W
1223982,2024-08-24T13:30:00+00:00,164,FSV Mainz 05,Union Berlin,True,1,1,D
