fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871164,2022-08-05T18:30:00+00:00,169,Eintracht Frankfurt,Bayern Munich,True,1,6,L
871179,2022-08-13T13:30:00+00:00,169,Eintracht Frankfurt,Hertha Berlin,False,1,1,D
871186,2022-08-21T13:30:00+00:00,169,Eintracht Frankfurt,1. FC Köln,True,1,1,D
871199,2022-08-28T15:30:00+00:00,169,Eintracht Frankfurt,Werder Bremen,False,4,3,W
871204,2022-09-03T16:30:00+00:00,169,Eintracht Frankfurt,RB Leipzig,True,4,0,W
871214,2022-09-10T13:30:00+00:00,169,Eintracht Frankfurt,VfL Wolfsburg,True,0,1,L
871225,2022-09-17T13:30:00+00:00,169,Eintracht Frankfurt,VfB Stuttgart,False,3,1,W
871231,2022-10-01T13:30:00+00:00,169,Eintracht Frankfurt,Union Berlin,True,2,0,W
871241,2022-10-08T13:30:00+00:00,169,Eintracht Frankfurt,Vfl Bochum,False,0,3,L
871249,2022-10-15T13:30:00+00:00,169,Eintracht Frankfurt,Bayer Leverkusen,True,5,1,W
871259,2022-10-22T16:30:00+00:00,169,Eintracht Frankfurt,Borussia Monchengladbach,False,3,1,W
871267,2022-10-29T16:30:00+00:00,169,Eintracht Frankfurt,Borussia Dortmund,True,1,2,L
871278,2022-11-05T14:30:00+00:00,169,Eintracht Frankfurt,FC Augsburg,False,2,1,W
871285,2022-11-09T19:30:00+00:00,169,Eintracht Frankfurt,1899 Hoffenheim,True,4,2,W
871292,2022-11-13T14:30:00+00:00,169,Eintracht Frankfurt,FSV Mainz 05,False,1,1,D
871304,2023-01-21T14:30:00+00:00,169,Eintracht Frankfurt,FC Schalke 04,True,3,0,W
871310,2023-01-25T19:30:00+00:00,169,Eintracht Frankfurt,SC Freiburg,False,1,1,D
871317,2023-01-28T17:30:00+00:00,169,Eintracht Frankfurt,Bayern Munich,False,1,1,D
871330,2023-02-04T14:30:00+00:00,169,Eintracht Frankfurt,Hertha Berlin,True,3,0,W
871338,2023-02-12T16:30:00+00:00,169,Eintracht Frankfurt,1. FC Köln,False,0,3,L
871348,2023-02-18T17:30:00+00:00,169,Eintracht Frankfurt,Werder Bremen,True,2,0,W
871354,2023-02-25T14:30:00+00:00,169,Eintracht Frankfurt,RB Leipzig,False,1,2,L
871367,2023-03-05T16:30:00+00:00,169,Eintracht Frankfurt,VfL Wolfsburg,False,2,2,D
871375,2023-03-11T14:30:00+00:00,169,Eintracht Frankfurt,VfB Stuttgart,True,1,1,D
871382,2023-03-19T14:30:00+00:00,169,Eintracht Frankfurt,Union Berlin,False,0,2,L
871394,2023-03-31T18:30:00+00:00,169,Eintracht Frankfurt,Vfl Bochum,True,1,1,D
871399,2023-04-08T13:30:00+00:00,169,Eintracht Frankfurt,Bayer Leverkusen,False,1,3,L
871411,2023-04-15T16:30:00+00:00,169,Eintracht Frankfurt,Borussia Monchengladbach,True,1,1,D
871416,2023-04-22T16:30:00+00:00,169,Eintracht Frankfurt,Borussia Dortmund,False,0,4,L
871429,2023-04-29T13:30:00+00:00,169,Eintracht Frankfurt,FC Augsburg,True,1,1,D
871438,2023-05-06T13:30:00+00:00,169,Eintracht Frankfurt,1899 Hoffenheim,False,1,3,L
871448,2023-05-13T13:30:00+00:00,169,Eintracht Frankfurt,FSV Mainz 05,True,3,0,W
871459,2023-05-20T13:30:00+00:00,169,Eintracht Frankfurt,FC Schalke 04,False,2,2,D
871466,2023-05-27T13:30:00+00:00,169,Eintracht Frankfurt,SC Freiburg,True,2,1,W
1048885,2023-08-20T15:30:00+00:00,169,Eintracht Frankfurt,SV Darmstadt 98,True,1,0,W
