fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871172,2022-08-07T13:30:00+00:00,173,RB Leipzig,VfB Stuttgart,False,1,1,D
871175,2022-08-13T13:30:00+00:00,173,RB Leipzig,1. FC Köln,True,2,2,D
871184,2022-08-20T16:30:00+00:00,173,RB Leipzig,Union Berlin,False,1,2,L
871192,2022-08-27T13:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,True,2,0,W
871204,2022-09-03T16:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,False,0,4,L
871210,2022-09-10T13:30:00+00:00,173,RB Leipzig,Borussia Dortmund,True,3,0,W
871219,2022-09-17T16:30:00+00:00,173,RB Leipzig,Borussia Monchengladbach,False,0,3,L
871228,2022-10-01T13:30:00+00:00,173,RB Leipzig,Vfl Bochum,True,4,0,W
871238,2022-10-08T13:30:00+00:00,173,RB Leipzig,FSV Mainz 05,False,1,1,D
871246,2022-10-15T16:30:00+00:00,173,RB Leipzig,Hertha Berlin,True,3,2,W
871261,2022-10-22T13:30:00+00:00,173,RB Leipzig,FC Augsburg,False,3,3,D
871264,2022-10-29T13:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,True,2,0,W
871276,2022-11-05T14:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,False,3,1,W
871282,2022-11-09T19:30:00+00:00,173,RB Leipzig,SC Freiburg,True,3,1,W
871298,2022-11-12T14:30:00+00:00,173,RB Leipzig,Werder Bremen,False,2,1,W
871300,2023-01-20T19:30:00+00:00,173,RB Leipzig,Bayern Munich,True,1,1,D
871315,2023-01-24T17:30:00+00:00,173,RB Leipzig,FC Schalke 04,False,6,1,W
871319,2023-01-27T19:30:00+00:00,173,RB Leipzig,VfB Stuttgart,True,2,1,W
871328,2023-02-04T14:30:00+00:00,173,RB Leipzig,1. FC Köln,False,0,0,D
871336,2023-02-11T17:30:00+00:00,173,RB Leipzig,Union Berlin,True,1,2,L
871349,2023-02-18T14:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,False,3,0,W
871354,2023-02-25T14:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,True,2,1,W
871362,2023-03-03T19:30:00+00:00,173,RB Leipzig,Borussia Dortmund,False,1,2,L
871372,2023-03-11T14:30:00+00:00,173,RB Leipzig,Borussia Monchengladbach,True,3,0,W
871386,2023-03-18T14:30:00+00:00,173,RB Leipzig,Vfl Bochum,False,0,1,L
871390,2023-04-01T13:30:00+00:00,173,RB Leipzig,FSV Mainz 05,True,0,3,L
871406,2023-04-08T16:30:00+00:00,173,RB Leipzig,Hertha Berlin,False,1,0,W
871408,2023-04-15T13:30:00+00:00,173,RB Leipzig,FC Augsburg,True,3,2,W
871417,2023-04-23T15:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,False,0,2,L
871426,2023-04-29T13:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,True,1,0,W
871436,2023-05-06T13:30:00+00:00,173,RB Leipzig,SC Freiburg,False,1,0,W
871445,2023-05-14T15:30:00+00:00,173,RB Leipzig,Werder Bremen,True,2,1,W
871452,2023-05-20T16:30:00+00:00,173,RB Leipzig,Bayern Munich,False,3,1,W
871462,2023-05-27T13:30:00+00:00,173,RB Leipzig,FC Schalke 04,True,4,2,W
1048884,2023-08-19T13:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,False,2,3,L
1048891,2023-08-25T18:30:00+00:00,173,RB Leipzig,VfB Stuttgart,True,5,1,W
1048900,2023-09-03T15:30:00+00:00,173,RB Leipzig,Union Berlin,False,3,0,W
1048909,2023-09-16T13:30:00+00:00,173,RB Leipzig,FC Augsburg,True,3,0,W
1048922,2023-09-23T13:30:00+00:00,173,RB Leipzig,Borussia Monchengladbach,False,1,0,W
1048926,2023-09-30T16:30:00+00:00,173,RB Leipzig,Bayern Munich,True,2,2,D
1048937,2023-10-07T13:30:00+00:00,173,RB Leipzig,Vfl Bochum,True,0,0,D
1048952,2023-10-21T13:30:00+00:00,173,RB Leipzig,SV Darmstadt 98,False,3,1,W
1048954,2023-10-28T16:30:00+00:00,173,RB Leipzig,1. FC Köln,True,6,0,W
1048966,2023-11-04T14:30:00+00:00,173,RB Leipzig,FSV Mainz 05,False,0,2,L
1048972,2023-11-12T18:30:00+00:00,173,RB Leipzig,SC Freiburg,True,3,1,W
1048984,2023-11-25T14:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,False,1,2,L
1048990,2023-12-02T14:30:00+00:00,173,RB Leipzig,FC Heidenheim,True,2,1,W
1048998,2023-12-09T17:30:00+00:00,173,RB Leipzig,Borussia Dortmund,False,3,2,W
1049008,2023-12-16T17:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,True,3,1,W
1049022,2023-12-19T17:30:00+00:00,173,RB Leipzig,Werder Bremen,False,1,1,D
1049026,2024-01-13T14:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,True,0,1,L
1049035,2024-01-20T17:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,True,2,3,L
1049051,2024-01-27T14:30:00+00:00,173,RB Leipzig,VfB Stuttgart,False,2,5,L
1049053,2024-02-04T16:30:00+00:00,173,RB Leipzig,Union Berlin,True,2,0,W
1049068,2024-02-10T14:30:00+00:00,173,RB Leipzig,FC Augsburg,False,2,2,D
1049070,2024-02-17T17:30:00+00:00,173,RB Leipzig,Borussia Monchengladbach,True,2,0,W
1049079,2024-02-24T17:30:00+00:00,173,RB Leipzig,Bayern Munich,False,1,2,L
1049094,2024-03-02T14:30:00+00:00,173,RB Leipzig,Vfl Bochum,False,4,1,W
1049098,2024-03-09T14:30:00+00:00,173,RB Leipzig,SV Darmstadt 98,True,2,0,W
1049111,2024-03-15T19:30:00+00:00,173,RB Leipzig,1. FC Köln,False,5,1,W
1049116,2024-03-30T14:30:00+00:00,173,RB Leipzig,FSV Mainz 05,True,0,0,D
1049126,2024-04-06T13:30:00+00:00,173,RB Leipzig,SC Freiburg,False,4,1,W
1049134,2024-04-13T13:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,True,3,0,W
1049150,2024-04-20T13:30:00+00:00,173,RB Leipzig,FC Heidenheim,False,2,1,W
1049152,2024-04-27T13:30:00+00:00,173,RB Leipzig,Borussia Dortmund,True,4,1,W
1049165,2024-05-03T18:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,False,1,1,D
1049170,2024-05-11T13:30:00+00:00,173,RB Leipzig,Werder Bremen,True,1,1,D
1049181,2024-05-18T13:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,False,2,2,D
1223976,2024-08-24T13:30:00+00:00,173,RB Leipzig,VfL Bochum,True,1,0,W
1223984,2024-08-31T16:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,False,3,2,W
1223993,2024-09-14T13:30:00+00:00,173,RB Leipzig,Union Berlin,True,0,0,D
1224010,2024-09-22T17:30:00+00:00,173,RB Leipzig,FC St. Pauli,False,0,0,D
1224012,2024-09-28T13:30:00+00:00,173,RB Leipzig,FC Augsburg,True,4,0,W
1224023,2024-10-06T13:30:00+00:00,173,RB Leipzig,1. FC Heidenheim,False,1,0,W
1224035,2024-10-19T13:30:00+00:00,173,RB Leipzig,FSV Mainz 05,False,2,0,W
1224039,2024-10-26T13:30:00+00:00,173,RB Leipzig,SC Freiburg,True,3,1,W
1224049,2024-11-02T17:30:00+00:00,173,RB Leipzig,Borussia Dortmund,False,1,2,L
1224057,2024-11-09T17:30:00+00:00,173,RB Leipzig,Borussia Mönchengladbach,True,0,0,D
1224070,2024-11-23T14:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,False,3,4,L
1224074,2024-11-30T14:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,True,1,5,L
1224091,2024-12-07T14:30:00+00:00,173,RB Leipzig,Holstein Kiel,False,2,0,W
1224092,2024-12-15T18:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,True,2,1,W
1224103,2024-12-20T19:30:00+00:00,173,RB Leipzig,Bayern München,False,1,5,L
1224110,2025-01-12T14:30:00+00:00,173,RB Leipzig,Werder Bremen,True,4,2,W
1224120,2025-01-15T19:30:00+00:00,173,RB Leipzig,VfB Stuttgart,False,1,2,L
1224135,2025-01-18T14:30:00+00:00,173,RB Leipzig,VfL Bochum,False,3,3,D
1224137,2025-01-25T14:30:00+00:00,173,RB Leipzig,Bayer Leverkusen,True,2,2,D
1224152,2025-02-01T17:30:00+00:00,173,RB Leipzig,Union Berlin,False,0,0,D
1224156,2025-02-09T16:30:00+00:00,173,RB Leipzig,FC St. Pauli,True,2,0,W
1224169,2025-02-14T19:30:00+00:00,173,RB Leipzig,FC Augsburg,False,0,0,D
1224174,2025-02-23T14:30:00+00:00,173,RB Leipzig,1. FC Heidenheim,True,2,2,D
1224183,2025-03-01T14:30:00+00:00,173,RB Leipzig,FSV Mainz 05,True,1,2,L
1224196,2025-03-08T17:30:00+00:00,173,RB Leipzig,SC Freiburg,False,0,0,D
1224201,2025-03-15T17:30:00+00:00,173,RB Leipzig,Borussia Dortmund,True,2,0,W
1224216,2025-03-29T14:30:00+00:00,173,RB Leipzig,Borussia Mönchengladbach,False,0,1,L
1224218,2025-04-05T13:30:00+00:00,173,RB Leipzig,1899 Hoffenheim,True,3,1,W
1224232,2025-04-11T18:30:00+00:00,173,RB Leipzig,VfL Wolfsburg,False,3,2,W
1224236,2025-04-19T13:30:00+00:00,173,RB Leipzig,Holstein Kiel,True,1,1,D
1224248,2025-04-26T16:30:00+00:00,173,RB Leipzig,Eintracht Frankfurt,False,0,4,L
1224254,2025-05-03T13:30:00+00:00,173,RB Leipzig,Bayern München,True,3,3,D
1224267,2025-05-10T13:30:00+00:00,173,RB Leipzig,Werder Bremen,False,0,0,D
1224272,2025-05-17T13:30:00+00:00,173,RB Leipzig,VfB Stuttgart,True,2,3,L
