fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1048885,2023-08-20T15:30:00+00:00,181,SV Darmstadt 98,Eintracht Frankfurt,False,0,1,L
1048898,2023-08-26T13:30:00+00:00,181,SV Darmstadt 98,Union Berlin,True,1,4,L
1048901,2023-09-02T13:30:00+00:00,181,SV Darmstadt 98,Bayer Leverkusen,False,1,5,L
1048916,2023-09-17T15:30:00+00:00,181,SV Darmstadt 98,Borussia Monchengladbach,True,3,3,D
1048925,2023-09-22T18:30:00+00:00,181,SV Darmstadt 98,VfB Stuttgart,False,1,3,L
1048934,2023-10-01T13:30:00+00:00,181,SV Darmstadt 98,Werder Bremen,True,4,2,W
1048942,2023-10-07T13:30:00+00:00,181,SV Darmstadt 98,FC Augsburg,False,2,1,W
1048952,2023-10-21T13:30:00+00:00,181,SV Darmstadt 98,RB Leipzig,True,1,3,L
1048953,2023-10-28T13:30:00+00:00,181,SV Darmstadt 98,Bayern Munich,False,0,8,L
1048970,2023-11-03T19:30:00+00:00,181,SV Darmstadt 98,Vfl Bochum,True,1,2,L
1048979,2023-11-11T14:30:00+00:00,181,SV Darmstadt 98,FSV Mainz 05,True,0,0,D
1048982,2023-11-25T14:30:00+00:00,181,SV Darmstadt 98,SC Freiburg,False,1,1,D
1048997,2023-12-01T19:30:00+00:00,181,SV Darmstadt 98,1. FC Köln,True,0,1,L
1049006,2023-12-09T14:30:00+00:00,181,SV Darmstadt 98,FC Heidenheim,False,2,3,L
1049015,2023-12-16T14:30:00+00:00,181,SV Darmstadt 98,VfL Wolfsburg,True,0,1,L
1049021,2023-12-19T19:30:00+00:00,181,SV Darmstadt 98,1899 Hoffenheim,False,3,3,D
1049033,2024-01-13T17:30:00+00:00,181,SV Darmstadt 98,Borussia Dortmund,True,0,3,L
1049042,2024-01-20T14:30:00+00:00,181,SV Darmstadt 98,Eintracht Frankfurt,True,2,2,D
1049044,2024-01-28T14:30:00+00:00,181,SV Darmstadt 98,Union Berlin,False,0,1,L
1049060,2024-02-03T14:30:00+00:00,181,SV Darmstadt 98,Bayer Leverkusen,True,0,2,L
1049065,2024-02-10T14:30:00+00:00,181,SV Darmstadt 98,Borussia Monchengladbach,False,0,0,D
1049078,2024-02-17T14:30:00+00:00,181,SV Darmstadt 98,VfB Stuttgart,True,1,2,L
1049085,2024-02-24T14:30:00+00:00,181,SV Darmstadt 98,Werder Bremen,False,1,1,D
1049096,2024-03-02T14:30:00+00:00,181,SV Darmstadt 98,FC Augsburg,True,0,6,L
1049098,2024-03-09T14:30:00+00:00,181,SV Darmstadt 98,RB Leipzig,False,0,2,L
1049114,2024-03-16T14:30:00+00:00,181,SV Darmstadt 98,Bayern Munich,True,2,5,L
1049121,2024-03-31T17:30:00+00:00,181,SV Darmstadt 98,Vfl Bochum,False,2,2,D
1049129,2024-04-06T13:30:00+00:00,181,SV Darmstadt 98,FSV Mainz 05,False,0,4,L
1049141,2024-04-14T13:30:00+00:00,181,SV Darmstadt 98,SC Freiburg,True,0,1,L
1049147,2024-04-20T13:30:00+00:00,181,SV Darmstadt 98,1. FC Köln,False,2,0,W
1049159,2024-04-28T17:30:00+00:00,181,SV Darmstadt 98,FC Heidenheim,True,0,1,L
1049163,2024-05-04T13:30:00+00:00,181,SV Darmstadt 98,VfL Wolfsburg,False,0,3,L
1049177,2024-05-12T13:30:00+00:00,181,SV Darmstadt 98,1899 Hoffenheim,True,0,6,L
1049178,2024-05-18T13:30:00+00:00,181,SV Darmstadt 98,Borussia Dortmund,False,0,4,L
