fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1223978,2024-08-24T13:30:00+00:00,191,Holstein Kiel,1899 Hoffenheim,False,2,3,L
1223992,2024-08-31T13:30:00+00:00,191,Holstein Kiel,VfL Wolfsburg,True,0,2,L
1224001,2024-09-14T16:30:00+00:00,191,Holstein Kiel,Bayern München,True,1,6,L
1224009,2024-09-21T13:30:00+00:00,191,Holstein Kiel,VfL Bochum,False,2,2,D
1224019,2024-09-29T13:30:00+00:00,191,Holstein Kiel,Eintracht Frankfurt,True,2,4,L
1224020,2024-10-05T13:30:00+00:00,191,Holstein Kiel,Bayer Leverkusen,False,2,2,D
1224037,2024-10-20T13:30:00+00:00,191,Holstein Kiel,Union Berlin,True,0,2,L
1224038,2024-10-26T13:30:00+00:00,191,Holstein Kiel,VfB Stuttgart,False,1,2,L
1224055,2024-11-02T14:30:00+00:00,191,Holstein Kiel,1. FC Heidenheim,True,1,0,W
1224059,2024-11-09T14:30:00+00:00,191,Holstein Kiel,Werder Bremen,False,1,2,L
1224073,2024-11-24T14:30:00+00:00,191,Holstein Kiel,FSV Mainz 05,True,0,3,L
1224082,2024-11-29T19:30:00+00:00,191,Holstein Kiel,FC St. Pauli,False,1,3,L
1224091,2024-12-07T14:30:00+00:00,191,Holstein Kiel,RB Leipzig,True,0,2,L
1224098,2024-12-14T14:30:00+00:00,191,Holstein Kiel,Borussia Mönchengladbach,False,1,4,L
1224109,2024-12-21T14:30:00+00:00,191,Holstein Kiel,FC Augsburg,True,5,1,W
1224114,2025-01-11T14:30:00+00:00,191,Holstein Kiel,SC Freiburg,False,2,3,L
1224127,2025-01-14T17:30:00+00:00,191,Holstein Kiel,Borussia Dortmund,True,4,2,W
1224136,2025-01-18T14:30:00+00:00,191,Holstein Kiel,1899 Hoffenheim,True,1,3,L
1224142,2025-01-24T19:30:00+00:00,191,Holstein Kiel,VfL Wolfsburg,False,2,2,D
1224148,2025-02-01T14:30:00+00:00,191,Holstein Kiel,Bayern München,False,3,4,L
1224163,2025-02-09T14:30:00+00:00,191,Holstein Kiel,VfL Bochum,True,2,2,D
1224166,2025-02-16T16:30:00+00:00,191,Holstein Kiel,Eintracht Frankfurt,False,1,3,L
1224181,2025-02-22T14:30:00+00:00,191,Holstein Kiel,Bayer Leverkusen,True,0,2,L
1224188,2025-03-02T14:30:00+00:00,191,Holstein Kiel,Union Berlin,False,1,0,W
1224199,2025-03-08T14:30:00+00:00,191,Holstein Kiel,VfB Stuttgart,True,2,2,D
1224202,2025-03-16T16:30:00+00:00,191,Holstein Kiel,1. FC Heidenheim,False,1,3,L
1224217,2025-03-29T14:30:00+00:00,191,Holstein Kiel,Werder Bremen,True,0,3,L
1224223,2025-04-05T13:30:00+00:00,191,Holstein Kiel,FSV Mainz 05,False,1,1,D
1224235,2025-04-12T13:30:00+00:00,191,Holstein Kiel,FC St. Pauli,True,1,2,L
1224236,2025-04-19T13:30:00+00:00,191,Holstein Kiel,RB Leipzig,False,1,1,D
1224253,2025-04-26T13:30:00+00:00,191,Holstein Kiel,Borussia Mönchengladbach,True,4,3,W
1224258,2025-05-04T13:30:00+00:00,191,Holstein Kiel,FC Augsburg,False,3,1,W
1224271,2025-05-10T13:30:00+00:00,191,Holstein Kiel,SC Freiburg,True,1,2,L
1224273,2025-05-17T13:30:00+00:00,191,Holstein Kiel,Borussia Dortmund,False,0,3,L
