fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
867948,2022-08-06T14:00:00+00:00,35,Bournemouth,Aston Villa,True,2,0,W
867962,2022-08-13T14:00:00+00:00,35,Bournemouth,Manchester City,False,0,4,L
867966,2022-08-20T16:30:00+00:00,35,Bournemouth,Arsenal,True,0,3,L
867981,2022-08-27T14:00:00+00:00,35,Bournemouth,Liverpool,False,0,9,L
867986,2022-08-31T18:30:00+00:00,35,Bournemouth,Wolves,True,0,0,D
868003,2022-09-03T14:00:00+00:00,35,Bournemouth,Nottingham Forest,False,3,2,W
868022,2022-09-17T14:00:00+00:00,35,Bournemouth,Newcastle,False,1,1,D
868026,2022-10-01T14:00:00+00:00,35,Bournemouth,Brentford,True,0,0,D
868036,2022-10-08T14:00:00+00:00,35,Bournemouth,Leicester,True,2,1,W
868048,2022-10-15T14:00:00+00:00,35,Bournemouth,Fulham,False,2,2,D
868056,2022-10-19T18:30:00+00:00,35,Bournemouth,Southampton,True,0,1,L
868074,2022-10-24T19:00:00+00:00,35,Bournemouth,West Ham,False,0,2,L
868076,2022-10-29T14:00:00+00:00,35,Bournemouth,Tottenham,True,2,3,L
868089,2022-11-05T15:00:00+00:00,35,Bournemouth,Leeds,False,3,4,L
868096,2022-11-12T15:00:00+00:00,35,Bournemouth,Everton,True,3,0,W
868109,2022-12-27T17:30:00+00:00,35,Bournemouth,Chelsea,False,0,2,L
868116,2022-12-31T15:00:00+00:00,35,Bournemouth,Crystal Palace,True,0,2,L
868134,2023-01-03T20:00:00+00:00,35,Bournemouth,Manchester United,False,0,3,L
868137,2023-01-14T17:30:00+00:00,35,Bournemouth,Brentford,False,0,2,L
868146,2023-01-21T15:00:00+00:00,35,Bournemouth,Nottingham Forest,True,1,1,D
868158,2023-02-04T15:00:00+00:00,35,Bournemouth,Brighton,False,0,1,L
868166,2023-02-11T17:30:00+00:00,35,Bournemouth,Newcastle,True,1,1,D
868185,2023-02-18T15:00:00+00:00,35,Bournemouth,Wolves,False,1,0,W
868186,2023-02-25T17:30:00+00:00,35,Bournemouth,Manchester City,True,1,4,L
868196,2023-03-04T15:00:00+00:00,35,Bournemouth,Arsenal,False,2,3,L
868206,2023-03-11T12:30:00+00:00,35,Bournemouth,Liverpool,True,1,0,W
868217,2023-03-18T15:00:00+00:00,35,Bournemouth,Aston Villa,False,0,3,L
868226,2023-04-01T14:00:00+00:00,35,Bournemouth,Fulham,True,2,1,W
868006,2023-04-04T18:45:00+00:00,35,Bournemouth,Brighton,True,0,2,L
868240,2023-04-08T14:00:00+00:00,35,Bournemouth,Leicester,False,1,0,W
