fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
867952,2022-08-06T14:00:00+00:00,41,Southampton,Tottenham,False,1,4,L
867964,2022-08-13T14:00:00+00:00,41,Southampton,Leeds,True,2,2,D
867971,2022-08-20T14:00:00+00:00,41,Southampton,Leicester,False,2,1,W
867984,2022-08-27T11:30:00+00:00,41,Southampton,Manchester United,True,0,1,L
867993,2022-08-30T18:45:00+00:00,41,Southampton,Chelsea,True,2,1,W
868005,2022-09-03T14:00:00+00:00,41,Southampton,Wolves,False,0,1,L
868016,2022-09-16T19:00:00+00:00,41,Southampton,Aston Villa,False,0,1,L
868034,2022-10-01T14:00:00+00:00,41,Southampton,Everton,True,1,2,L
868042,2022-10-08T14:00:00+00:00,41,Southampton,Manchester City,False,0,4,L
868053,2022-10-16T13:00:00+00:00,41,Southampton,West Ham,True,1,1,D
868056,2022-10-19T18:30:00+00:00,41,Southampton,Bournemouth,False,1,0,W
868072,2022-10-23T13:00:00+00:00,41,Southampton,Arsenal,True,1,1,D
868080,2022-10-29T14:00:00+00:00,41,Southampton,Crystal Palace,False,0,1,L
868092,2022-11-06T14:00:00+00:00,41,Southampton,Newcastle,True,1,4,L
868099,2022-11-12T15:00:00+00:00,41,Southampton,Liverpool,False,1,3,L
868115,2022-12-26T15:00:00+00:00,41,Southampton,Brighton,True,1,3,L
868118,2022-12-31T15:00:00+00:00,41,Southampton,Fulham,False,1,2,L
868135,2023-01-04T19:30:00+00:00,41,Southampton,Nottingham Forest,True,0,1,L
868140,2023-01-14T15:00:00+00:00,41,Southampton,Everton,False,2,1,W
868154,2023-01-21T15:00:00+00:00,41,Southampton,Aston Villa,True,0,1,L
868157,2023-02-04T15:00:00+00:00,41,Southampton,Brentford,False,0,3,L
868174,2023-02-11T15:00:00+00:00,41,Southampton,Wolves,True,1,2,L
868179,2023-02-18T15:00:00+00:00,41,Southampton,Chelsea,False,1,0,W
868190,2023-02-25T15:00:00+00:00,41,Southampton,Leeds,False,0,1,L
868204,2023-03-04T17:30:00+00:00,41,Southampton,Leicester,True,1,0,W
868212,2023-03-12T14:00:00+00:00,41,Southampton,Manchester United,False,0,0,D
868014,2023-03-15T19:30:00+00:00,41,Southampton,Brentford,True,0,2,L
868224,2023-03-18T15:00:00+00:00,41,Southampton,Tottenham,True,3,3,D
868235,2023-04-02T13:00:00+00:00,41,Southampton,West Ham,False,0,1,L
868243,2023-04-08T16:30:00+00:00,41,Southampton,Manchester City,True,1,4,L
868252,2023-04-15T14:00:00+00:00,41,Southampton,Crystal Palace,True,0,2,L
868257,2023-04-21T19:00:00+00:00,41,Southampton,Arsenal,False,3,3,D
868274,2023-04-27T18:45:00+00:00,41,Southampton,Bournemouth,True,0,1,L
868285,2023-04-30T13:00:00+00:00,41,Southampton,Newcastle,False,1,3,L
868292,2023-05-08T19:00:00+00:00,41,Southampton,Nottingham Forest,False,3,4,L
868305,2023-05-13T14:00:00+00:00,41,Southampton,Fulham,True,0,2,L
868307,2023-05-21T13:00:00+00:00,41,Southampton,Brighton,False,1,3,L
868325,2023-05-28T15:30:00+00:00,41,Southampton,Liverpool,True,4,4,D
1208025,2024-08-17T14:00:00+00:00,41,Southampton,Newcastle,False,0,1,L
1208038,2024-08-24T14:00:00+00:00,41,Southampton,Nottingham Forest,True,0,1,L
1208042,2024-08-31T14:00:00+00:00,41,Southampton,Brentford,False,1,3,L
1208058,2024-09-14T11:30:00+00:00,41,Southampton,Manchester United,True,0,3,L
1208068,2024-09-21T14:00:00+00:00,41,Southampton,Ipswich,True,1,1,D
1208071,2024-09-30T19:00:00+00:00,41,Southampton,Bournemouth,False,1,3,L
1208081,2024-10-05T14:00:00+00:00,41,Southampton,Arsenal,False,1,3,L
