fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
867952,2022-08-06T14:00:00+00:00,47,Tottenham,Southampton,True,4,1,W
867960,2022-08-14T15:30:00+00:00,47,Tottenham,Chelsea,False,2,2,D
867974,2022-08-20T11:30:00+00:00,47,Tottenham,Wolves,True,1,0,W
867983,2022-08-28T15:30:00+00:00,47,Tottenham,Nottingham Forest,False,2,0,W
867991,2022-08-31T18:45:00+00:00,47,Tottenham,West Ham,False,1,1,D
868004,2022-09-03T14:00:00+00:00,47,Tottenham,Fulham,True,2,1,W
868024,2022-09-17T16:30:00+00:00,47,Tottenham,Leicester,True,6,2,W
868027,2022-10-01T11:30:00+00:00,47,Tottenham,Arsenal,False,1,3,L
868038,2022-10-08T16:30:00+00:00,47,Tottenham,Brighton,False,1,0,W
868054,2022-10-15T16:30:00+00:00,47,Tottenham,Everton,True,2,0,W
868065,2022-10-19T19:15:00+00:00,47,Tottenham,Manchester United,False,0,2,L
868073,2022-10-23T15:30:00+00:00,47,Tottenham,Newcastle,True,1,2,L
868076,2022-10-29T14:00:00+00:00,47,Tottenham,Bournemouth,False,3,2,W
868093,2022-11-06T16:30:00+00:00,47,Tottenham,Liverpool,True,1,2,L
868103,2022-11-12T15:00:00+00:00,47,Tottenham,Leeds,True,4,3,W
868108,2022-12-26T12:30:00+00:00,47,Tottenham,Brentford,False,2,2,D
868123,2023-01-01T14:00:00+00:00,47,Tottenham,Aston Villa,True,0,2,L
868130,2023-01-04T20:00:00+00:00,47,Tottenham,Crystal Palace,False,4,0,W
868144,2023-01-15T16:30:00+00:00,47,Tottenham,Arsenal,True,0,2,L
868013,2023-01-19T20:00:00+00:00,47,Tottenham,Manchester City,False,2,4,L
868149,2023-01-23T20:00:00+00:00,47,Tottenham,Fulham,False,1,0,W
868164,2023-02-05T16:30:00+00:00,47,Tottenham,Manchester City,True,1,0,W
868171,2023-02-11T15:00:00+00:00,47,Tottenham,Leicester,False,1,4,L
868184,2023-02-19T16:30:00+00:00,47,Tottenham,West Ham,True,2,0,W
868194,2023-02-26T13:30:00+00:00,47,Tottenham,Chelsea,True,2,0,W
868205,2023-03-04T15:00:00+00:00,47,Tottenham,Wolves,False,0,1,L
868214,2023-03-11T15:00:00+00:00,47,Tottenham,Nottingham Forest,True,3,1,W
868224,2023-03-18T15:00:00+00:00,47,Tottenham,Southampton,False,3,3,D
868231,2023-04-03T19:00:00+00:00,47,Tottenham,Everton,False,1,1,D
868244,2023-04-08T14:00:00+00:00,47,Tottenham,Brighton,True,2,1,W
868253,2023-04-15T14:15:00+00:00,47,Tottenham,Bournemouth,True,2,3,L
868265,2023-04-23T13:00:00+00:00,47,Tottenham,Newcastle,False,1,6,L
868269,2023-04-27T19:15:00+00:00,47,Tottenham,Manchester United,True,2,2,D
868283,2023-04-30T15:30:00+00:00,47,Tottenham,Liverpool,False,3,4,L
868293,2023-05-06T14:00:00+00:00,47,Tottenham,Crystal Palace,True,1,0,W
868297,2023-05-13T14:00:00+00:00,47,Tottenham,Aston Villa,False,1,2,L
868313,2023-05-20T11:30:00+00:00,47,Tottenham,Brentford,True,1,3,L
868322,2023-05-28T15:30:00+00:00,47,Tottenham,Leeds,False,4,1,W
1035044,2023-08-13T13:00:00+00:00,47,Tottenham,Brentford,False,2,2,D
1035054,2023-08-19T16:30:00+00:00,47,Tottenham,Manchester United,True,2,0,W
1035057,2023-08-26T11:30:00+00:00,47,Tottenham,Bournemouth,False,2,0,W
1035070,2023-09-02T14:00:00+00:00,47,Tottenham,Burnley,False,5,2,W
1035084,2023-09-16T14:00:00+00:00,47,Tottenham,Sheffield Utd,True,2,1,W
1035087,2023-09-24T13:00:00+00:00,47,Tottenham,Arsenal,False,2,2,D
1035104,2023-09-30T16:30:00+00:00,47,Tottenham,Liverpool,True,2,1,W
