fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
881785,2022-08-14T16:30:00+00:00,487,Lazio,Bologna,True,2,1,W
881790,2022-08-20T16:30:00+00:00,487,Lazio,Torino,False,0,0,D
881801,2022-08-26T18:45:00+00:00,487,Lazio,Inter,True,3,1,W
881814,2022-08-31T16:30:00+00:00,487,Lazio,Sampdoria,False,1,1,D
881822,2022-09-03T18:45:00+00:00,487,Lazio,Napoli,True,1,2,L
881835,2022-09-11T16:00:00+00:00,487,Lazio,Hellas Verona,True,2,0,W
881841,2022-09-18T13:00:00+00:00,487,Lazio,Cremonese,False,4,0,W
881855,2022-10-02T10:30:00+00:00,487,Lazio,Spezia,True,4,0,W
881862,2022-10-10T18:45:00+00:00,487,Lazio,Fiorentina,False,4,0,W
881874,2022-10-16T13:00:00+00:00,487,Lazio,Udinese,True,0,0,D
881880,2022-10-23T16:00:00+00:00,487,Lazio,Atalanta,False,2,0,W
881893,2022-10-30T17:00:00+00:00,487,Lazio,Salernitana,True,1,3,L
881908,2022-11-06T17:00:00+00:00,487,Lazio,AS Roma,False,1,0,W
881914,2022-11-10T19:45:00+00:00,487,Lazio,Monza,True,1,0,W
881924,2022-11-13T19:45:00+00:00,487,Lazio,Juventus,False,0,3,L
881937,2023-01-04T15:30:00+00:00,487,Lazio,Lecce,False,1,2,L
881944,2023-01-08T14:00:00+00:00,487,Lazio,Empoli,True,2,2,D
881957,2023-01-15T11:30:00+00:00,487,Lazio,Sassuolo,False,2,0,W
881965,2023-01-24T19:45:00+00:00,487,Lazio,AC Milan,True,4,0,W
881978,2023-01-29T17:00:00+00:00,487,Lazio,Fiorentina,True,1,1,D
881982,2023-02-06T17:30:00+00:00,487,Lazio,Hellas Verona,False,1,1,D
881994,2023-02-11T19:45:00+00:00,487,Lazio,Atalanta,True,0,2,L
882005,2023-02-19T14:00:00+00:00,487,Lazio,Salernitana,False,2,0,W
882014,2023-02-27T19:45:00+00:00,487,Lazio,Sampdoria,True,1,0,W
882024,2023-03-03T19:45:00+00:00,487,Lazio,Napoli,False,1,0,W
882030,2023-03-11T19:45:00+00:00,487,Lazio,Bologna,False,0,0,D
882043,2023-03-19T17:00:00+00:00,487,Lazio,AS Roma,True,1,0,W
882057,2023-04-02T13:00:00+00:00,487,Lazio,Monza,False,2,0,W
882067,2023-04-08T18:45:00+00:00,487,Lazio,Juventus,True,2,1,W
882078,2023-04-14T18:45:00+00:00,487,Lazio,Spezia,False,3,0,W
882083,2023-04-22T16:00:00+00:00,487,Lazio,Torino,True,0,1,L
882093,2023-04-30T10:30:00+00:00,487,Lazio,Inter,False,1,3,L
882103,2023-05-03T19:00:00+00:00,487,Lazio,Sassuolo,True,2,0,W
882117,2023-05-06T13:00:00+00:00,487,Lazio,AC Milan,False,0,2,L
882124,2023-05-12T18:45:00+00:00,487,Lazio,Lecce,True,2,2,D
882138,2023-05-21T18:45:00+00:00,487,Lazio,Udinese,False,1,0,W
882147,2023-05-28T16:00:00+00:00,487,Lazio,Cremonese,True,3,2,W
882152,2023-06-03T19:00:00+00:00,487,Lazio,Empoli,False,2,0,W
1052258,2023-08-20T18:45:00+00:00,487,Lazio,Lecce,False,1,2,L
1052268,2023-08-27T18:45:00+00:00,487,Lazio,Genoa,True,0,1,L
1052278,2023-09-02T18:45:00+00:00,487,Lazio,Napoli,False,2,1,W
1052289,2023-09-16T13:00:00+00:00,487,Lazio,Juventus,False,1,3,L
1052296,2023-09-23T18:45:00+00:00,487,Lazio,Monza,True,1,1,D
