fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
881780,2022-08-13T16:30:00+00:00,494,Udinese,AC Milan,False,2,4,L
881791,2022-08-20T16:30:00+00:00,494,Udinese,Salernitana,True,0,0,D
881800,2022-08-26T16:30:00+00:00,494,Udinese,Monza,False,2,1,W
881815,2022-08-31T16:30:00+00:00,494,Udinese,Fiorentina,True,1,0,W
881826,2022-09-04T18:45:00+00:00,494,Udinese,AS Roma,True,4,0,W
881839,2022-09-11T13:00:00+00:00,494,Udinese,Sassuolo,False,3,1,W
881849,2022-09-18T10:30:00+00:00,494,Udinese,Inter,True,3,1,W
881852,2022-10-03T18:45:00+00:00,494,Udinese,Hellas Verona,False,2,1,W
881869,2022-10-09T13:00:00+00:00,494,Udinese,Atalanta,True,2,2,D
881874,2022-10-16T13:00:00+00:00,494,Udinese,Lazio,False,0,0,D
881889,2022-10-23T10:30:00+00:00,494,Udinese,Torino,True,1,2,L
881890,2022-10-30T14:00:00+00:00,494,Udinese,Cremonese,False,0,0,D
881909,2022-11-04T19:45:00+00:00,494,Udinese,Lecce,True,1,1,D
881918,2022-11-08T17:30:00+00:00,494,Udinese,Spezia,False,1,1,D
881927,2022-11-12T14:00:00+00:00,494,Udinese,Napoli,False,2,3,L
881935,2023-01-04T19:45:00+00:00,494,Udinese,Empoli,True,1,1,D
881943,2023-01-07T17:00:00+00:00,494,Udinese,Juventus,False,0,1,L
881959,2023-01-15T14:00:00+00:00,494,Udinese,Bologna,True,1,2,L
881968,2023-01-22T11:30:00+00:00,494,Udinese,Sampdoria,False,1,0,W
881979,2023-01-30T19:45:00+00:00,494,Udinese,Hellas Verona,True,1,1,D
881989,2023-02-05T14:00:00+00:00,494,Udinese,Torino,False,0,1,L
881999,2023-02-12T11:30:00+00:00,494,Udinese,Sassuolo,True,2,2,D
882002,2023-02-18T19:45:00+00:00,494,Udinese,Inter,False,1,3,L
882019,2023-02-26T17:00:00+00:00,494,Udinese,Spezia,True,2,2,D
