fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
881789,2022-08-15T18:45:00+00:00,496,Juventus,Sassuolo,True,3,0,W
881799,2022-08-22T18:45:00+00:00,496,Juventus,Sampdoria,False,0,0,D
881803,2022-08-27T16:30:00+00:00,496,Juventus,AS Roma,True,1,1,D
881816,2022-08-31T18:45:00+00:00,496,Juventus,Spezia,True,2,0,W
881820,2022-09-03T13:00:00+00:00,496,Juventus,Fiorentina,False,1,1,D
881834,2022-09-11T18:45:00+00:00,496,Juventus,Salernitana,True,2,2,D
881844,2022-09-18T13:00:00+00:00,496,Juventus,Monza,False,0,1,L
881854,2022-10-02T18:45:00+00:00,496,Juventus,Bologna,True,3,0,W
881863,2022-10-08T16:00:00+00:00,496,Juventus,AC Milan,False,0,2,L
881879,2022-10-15T16:00:00+00:00,496,Juventus,Torino,False,1,0,W
881884,2022-10-21T18:45:00+00:00,496,Juventus,Empoli,True,4,0,W
881898,2022-10-29T16:00:00+00:00,496,Juventus,Lecce,False,1,0,W
881907,2022-11-06T19:45:00+00:00,496,Juventus,Inter,True,2,0,W
881912,2022-11-10T17:30:00+00:00,496,Juventus,Hellas Verona,False,1,0,W
881924,2022-11-13T19:45:00+00:00,496,Juventus,Lazio,True,3,0,W
881930,2023-01-04T17:30:00+00:00,496,Juventus,Cremonese,False,1,0,W
881943,2023-01-07T17:00:00+00:00,496,Juventus,Udinese,True,1,0,W
881955,2023-01-13T19:45:00+00:00,496,Juventus,Napoli,False,1,5,L
881964,2023-01-22T19:45:00+00:00,496,Juventus,Atalanta,True,3,3,D
881974,2023-01-29T14:00:00+00:00,496,Juventus,Monza,True,0,2,L
881986,2023-02-07T19:45:00+00:00,496,Juventus,Salernitana,False,3,0,W
881993,2023-02-12T17:00:00+00:00,496,Juventus,Fiorentina,True,1,0,W
882008,2023-02-19T17:00:00+00:00,496,Juventus,Spezia,False,2,0,W
882013,2023-02-28T19:45:00+00:00,496,Juventus,Torino,True,4,2,W
882025,2023-03-05T19:45:00+00:00,496,Juventus,AS Roma,False,0,1,L
882034,2023-03-12T19:45:00+00:00,496,Juventus,Sampdoria,True,4,2,W
882042,2023-03-19T19:45:00+00:00,496,Juventus,Inter,False,1,0,W
882056,2023-04-01T18:45:00+00:00,496,Juventus,Hellas Verona,True,1,0,W
882067,2023-04-08T18:45:00+00:00,496,Juventus,Lazio,False,1,2,L
882077,2023-04-16T16:00:00+00:00,496,Juventus,Sassuolo,False,0,1,L
882082,2023-04-23T18:45:00+00:00,496,Juventus,Napoli,True,0,1,L
882090,2023-04-30T18:45:00+00:00,496,Juventus,Bologna,False,1,1,D
882102,2023-05-03T16:00:00+00:00,496,Juventus,Lecce,True,2,1,W
882110,2023-05-07T10:30:00+00:00,496,Juventus,Atalanta,False,2,0,W
882127,2023-05-14T18:45:00+00:00,496,Juventus,Cremonese,True,2,0,W
882131,2023-05-22T18:45:00+00:00,496,Juventus,Empoli,False,1,4,L
882142,2023-05-28T18:45:00+00:00,496,Juventus,AC Milan,True,0,1,L
882159,2023-06-04T19:00:00+00:00,496,Juventus,Udinese,False,1,0,W
1052262,2023-08-20T18:45:00+00:00,496,Juventus,Udinese,False,3,0,W
1052267,2023-08-27T16:30:00+00:00,496,Juventus,Bologna,True,1,1,D
1052275,2023-09-03T18:45:00+00:00,496,Juventus,Empoli,False,2,0,W
1052289,2023-09-16T13:00:00+00:00,496,Juventus,Lazio,True,3,1,W
1052300,2023-09-23T16:00:00+00:00,496,Juventus,Sassuolo,False,2,4,L
1052309,2023-09-26T18:45:00+00:00,496,Juventus,Lecce,True,1,0,W
1052313,2023-10-01T16:00:00+00:00,496,Juventus,Atalanta,False,0,0,D
1052328,2023-10-07T16:00:00+00:00,496,Juventus,Torino,True,2,0,W
1052337,2023-10-22T18:45:00+00:00,496,Juventus,AC Milan,False,1,0,W
1052347,2023-10-28T18:45:00+00:00,496,Juventus,Hellas Verona,True,1,0,W
1052356,2023-11-05T19:45:00+00:00,496,Juventus,Fiorentina,False,1,0,W
1052366,2023-11-11T17:00:00+00:00,496,Juventus,Cagliari,True,2,1,W
1052379,2023-11-26T19:45:00+00:00,496,Juventus,Inter,True,1,1,D
1052388,2023-12-01T19:45:00+00:00,496,Juventus,Monza,False,2,1,W
1052399,2023-12-08T19:45:00+00:00,496,Juventus,Napoli,True,1,0,W
1052406,2023-12-15T19:45:00+00:00,496,Juventus,Genoa,False,1,1,D
1052415,2023-12-23T11:30:00+00:00,496,Juventus,Frosinone,False,2,1,W
1052428,2023-12-30T19:45:00+00:00,496,Juventus,AS Roma,True,1,0,W
1052439,2024-01-07T17:00:00+00:00,496,Juventus,Salernitana,False,2,1,W
1052448,2024-01-16T19:45:00+00:00,496,Juventus,Sassuolo,True,3,0,W
1052457,2024-01-21T19:45:00+00:00,496,Juventus,Lecce,False,3,0,W
1052468,2024-01-27T17:00:00+00:00,496,Juventus,Empoli,True,1,1,D
1052477,2024-02-04T19:45:00+00:00,496,Juventus,Inter,False,0,1,L
1052487,2024-02-12T19:45:00+00:00,496,Juventus,Udinese,True,0,1,L
1052496,2024-02-17T17:00:00+00:00,496,Juventus,Hellas Verona,False,2,2,D
1052507,2024-02-25T11:30:00+00:00,496,Juventus,Frosinone,True,3,2,W
1052520,2024-03-03T19:45:00+00:00,496,Juventus,Napoli,False,1,2,L
1052527,2024-03-10T17:00:00+00:00,496,Juventus,Atalanta,True,2,2,D
1052538,2024-03-17T11:30:00+00:00,496,Juventus,Genoa,True,0,0,D
1052548,2024-03-30T17:00:00+00:00,496,Juventus,Lazio,False,0,1,L
1052557,2024-04-07T18:45:00+00:00,496,Juventus,Fiorentina,True,1,0,W
1052571,2024-04-13T16:00:00+00:00,496,Juventus,Torino,False,0,0,D
1052573,2024-04-19T18:45:00+00:00,496,Juventus,Cagliari,False,2,2,D
1052589,2024-04-27T16:00:00+00:00,496,Juventus,AC Milan,True,0,0,D
1052598,2024-05-05T18:45:00+00:00,496,Juventus,AS Roma,False,1,1,D
1052608,2024-05-12T16:00:00+00:00,496,Juventus,Salernitana,True,1,1,D
1052613,2024-05-20T18:45:00+00:00,496,Juventus,Bologna,False,3,3,D
1052629,2024-05-25T16:00:00+00:00,496,Juventus,Monza,True,2,0,W
1223600,2024-08-19T18:45:00+00:00,496,Juventus,Como,True,3,0,W
1223607,2024-08-26T18:45:00+00:00,496,Juventus,Hellas Verona,False,3,0,W
1223619,2024-09-01T18:45:00+00:00,496,Juventus,AS Roma,True,0,0,D
1223628,2024-09-14T16:00:00+00:00,496,Juventus,Empoli,False,0,0,D
1223640,2024-09-21T16:00:00+00:00,496,Juventus,Napoli,True,0,0,D
1223648,2024-09-28T16:00:00+00:00,496,Juventus,Genoa,False,3,0,W
1223660,2024-10-06T10:30:00+00:00,496,Juventus,Cagliari,True,1,1,D
1223670,2024-10-19T18:45:00+00:00,496,Juventus,Lazio,True,1,0,W
1223678,2024-10-27T16:00:00+00:00,496,Juventus,Inter,False,4,4,D
1223690,2024-10-30T19:45:00+00:00,496,Juventus,Parma,True,2,2,D
1223704,2024-11-02T17:00:00+00:00,496,Juventus,Udinese,False,2,0,W
1223710,2024-11-09T19:45:00+00:00,496,Juventus,Torino,True,2,0,W
1223720,2024-11-23T17:00:00+00:00,496,Juventus,AC Milan,False,0,0,D
1223729,2024-12-01T19:45:00+00:00,496,Juventus,Lecce,False,1,1,D
1223740,2024-12-07T17:00:00+00:00,496,Juventus,Bologna,True,2,2,D
1223749,2024-12-14T19:45:00+00:00,496,Juventus,Venezia,True,2,2,D
1223761,2024-12-22T19:45:00+00:00,496,Juventus,Monza,False,2,1,W
1223769,2024-12-29T17:00:00+00:00,496,Juventus,Fiorentina,True,2,2,D
1223792,2025-01-11T17:00:00+00:00,496,Juventus,Torino,False,1,1,D
1223775,2025-01-14T19:45:00+00:00,496,Juventus,Atalanta,False,1,1,D
1223802,2025-01-18T17:00:00+00:00,496,Juventus,AC Milan,True,2,0,W
1223811,2025-01-25T17:00:00+00:00,496,Juventus,Napoli,False,1,2,L
1223819,2025-02-02T11:30:00+00:00,496,Juventus,Empoli,True,4,1,W
1223826,2025-02-07T19:45:00+00:00,496,Juventus,Como,False,2,1,W
1223839,2025-02-16T19:45:00+00:00,496,Juventus,Inter,True,1,0,W
1223845,2025-02-23T19:45:00+00:00,496,Juventus,Cagliari,False,1,0,W
1223859,2025-03-03T19:45:00+00:00,496,Juventus,Hellas Verona,True,2,0,W
1223870,2025-03-09T19:45:00+00:00,496,Juventus,Atalanta,True,0,4,L
1223877,2025-03-16T17:00:00+00:00,496,Juventus,Fiorentina,False,0,3,L
1223890,2025-03-29T17:00:00+00:00,496,Juventus,Genoa,True,1,0,W
1223903,2025-04-06T18:45:00+00:00,496,Juventus,AS Roma,False,1,1,D
1223910,2025-04-12T18:45:00+00:00,496,Juventus,Lecce,True,2,1,W
1223922,2025-04-23T16:30:00+00:00,496,Juventus,Parma,False,0,1,L
1223930,2025-04-27T16:00:00+00:00,496,Juventus,Monza,True,2,0,W
1223935,2025-05-04T18:45:00+00:00,496,Juventus,Bologna,False,1,1,D
1223949,2025-05-10T16:00:00+00:00,496,Juventus,Lazio,False,1,1,D
1223960,2025-05-18T18:45:00+00:00,496,Juventus,Udinese,True,2,0,W
1223974,2025-05-25T18:45:00+00:00,496,Juventus,Venezia,False,3,2,W
