fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
881786,2022-08-14T18:45:00+00:00,497,AS Roma,Salernitana,False,1,0,W
881798,2022-08-22T16:30:00+00:00,497,AS Roma,Cremonese,True,1,0,W
881803,2022-08-27T16:30:00+00:00,497,AS Roma,Juventus,False,1,1,D
881812,2022-08-30T18:45:00+00:00,497,AS Roma,Monza,True,3,0,W
881826,2022-09-04T18:45:00+00:00,497,AS Roma,Udinese,False,0,4,L
881832,2022-09-12T18:45:00+00:00,497,AS Roma,Empoli,False,2,1,W
881845,2022-09-18T16:00:00+00:00,497,AS Roma,Atalanta,True,0,1,L
881853,2022-10-01T16:00:00+00:00,497,AS Roma,Inter,False,2,1,W
881865,2022-10-09T18:45:00+00:00,497,AS Roma,Lecce,True,2,1,W
881877,2022-10-17T16:30:00+00:00,497,AS Roma,Sampdoria,False,1,0,W
881886,2022-10-23T18:45:00+00:00,497,AS Roma,Napoli,True,0,1,L
881891,2022-10-31T17:30:00+00:00,497,AS Roma,Hellas Verona,False,3,1,W
881908,2022-11-06T17:00:00+00:00,497,AS Roma,Lazio,True,0,1,L
881917,2022-11-09T17:30:00+00:00,497,AS Roma,Sassuolo,False,1,1,D
881928,2022-11-13T14:00:00+00:00,497,AS Roma,Torino,True,1,1,D
881934,2023-01-04T15:30:00+00:00,497,AS Roma,Bologna,True,1,0,W
881945,2023-01-08T19:45:00+00:00,497,AS Roma,AC Milan,False,2,2,D
881956,2023-01-15T19:45:00+00:00,497,AS Roma,Fiorentina,True,2,0,W
881969,2023-01-22T17:00:00+00:00,497,AS Roma,Spezia,False,2,0,W
881977,2023-01-29T19:45:00+00:00,497,AS Roma,Napoli,False,1,2,L
881985,2023-02-04T17:00:00+00:00,497,AS Roma,Empoli,True,2,0,W
881995,2023-02-11T17:00:00+00:00,497,AS Roma,Lecce,False,1,1,D
882004,2023-02-19T19:45:00+00:00,497,AS Roma,Hellas Verona,True,1,0,W
882011,2023-02-28T17:30:00+00:00,497,AS Roma,Cremonese,False,1,2,L
882025,2023-03-05T19:45:00+00:00,497,AS Roma,Juventus,True,1,0,W
882037,2023-03-12T17:00:00+00:00,497,AS Roma,Sassuolo,True,3,4,L
882043,2023-03-19T17:00:00+00:00,497,AS Roma,Lazio,False,0,1,L
882052,2023-04-02T16:00:00+00:00,497,AS Roma,Sampdoria,True,3,0,W
