fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
881782,2022-08-13T18:45:00+00:00,505,Inter,Lecce,False,2,1,W
881792,2022-08-20T18:45:00+00:00,505,Inter,Spezia,True,3,0,W
881801,2022-08-26T18:45:00+00:00,505,Inter,Lazio,False,1,3,L
881811,2022-08-30T18:45:00+00:00,505,Inter,Cremonese,True,3,1,W
881821,2022-09-03T16:00:00+00:00,505,Inter,AC Milan,False,2,3,L
881833,2022-09-10T16:00:00+00:00,505,Inter,Torino,True,1,0,W
881849,2022-09-18T10:30:00+00:00,505,Inter,Udinese,False,1,3,L
881853,2022-10-01T16:00:00+00:00,505,Inter,AS Roma,True,1,2,L
881867,2022-10-08T13:00:00+00:00,505,Inter,Sassuolo,False,2,1,W
881873,2022-10-16T10:30:00+00:00,505,Inter,Salernitana,True,2,0,W
881883,2022-10-22T18:45:00+00:00,505,Inter,Fiorentina,False,4,3,W
881892,2022-10-29T18:45:00+00:00,505,Inter,Sampdoria,True,3,0,W
881907,2022-11-06T19:45:00+00:00,505,Inter,Juventus,False,0,2,L
881913,2022-11-09T19:45:00+00:00,505,Inter,Bologna,True,6,1,W
881920,2022-11-13T11:30:00+00:00,505,Inter,Atalanta,False,3,2,W
881932,2023-01-04T19:45:00+00:00,505,Inter,Napoli,True,1,0,W
881946,2023-01-07T19:45:00+00:00,505,Inter,Monza,False,2,2,D
881953,2023-01-14T19:45:00+00:00,505,Inter,Hellas Verona,True,1,0,W
881963,2023-01-23T19:45:00+00:00,505,Inter,Empoli,True,0,1,L
881972,2023-01-28T17:00:00+00:00,505,Inter,Cremonese,False,2,1,W
881983,2023-02-05T19:45:00+00:00,505,Inter,AC Milan,True,1,0,W
881998,2023-02-13T19:45:00+00:00,505,Inter,Sampdoria,False,0,0,D
882002,2023-02-18T19:45:00+00:00,505,Inter,Udinese,True,3,1,W
882010,2023-02-26T11:30:00+00:00,505,Inter,Bologna,False,0,1,L
882022,2023-03-05T17:00:00+00:00,505,Inter,Lecce,True,2,0,W
882039,2023-03-10T19:45:00+00:00,505,Inter,Spezia,False,1,2,L
882042,2023-03-19T19:45:00+00:00,505,Inter,Juventus,True,0,1,L
882055,2023-04-01T16:00:00+00:00,505,Inter,Fiorentina,True,0,1,L
882066,2023-04-07T15:00:00+00:00,505,Inter,Salernitana,False,1,1,D
882072,2023-04-15T18:45:00+00:00,505,Inter,Monza,True,0,1,L
882081,2023-04-23T10:30:00+00:00,505,Inter,Empoli,False,3,0,W
882093,2023-04-30T10:30:00+00:00,505,Inter,Lazio,True,3,1,W
882101,2023-05-03T19:00:00+00:00,505,Inter,Hellas Verona,False,6,0,W
882116,2023-05-06T16:00:00+00:00,505,Inter,AS Roma,False,2,0,W
882123,2023-05-13T18:45:00+00:00,505,Inter,Sassuolo,True,4,2,W
882137,2023-05-21T16:00:00+00:00,505,Inter,Napoli,False,1,3,L
882146,2023-05-27T18:45:00+00:00,505,Inter,Atalanta,True,3,2,W
882158,2023-06-03T16:30:00+00:00,505,Inter,Torino,False,1,0,W
