fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877949,2022-08-15T17:30:00+00:00,530,Atletico Madrid,Getafe,False,3,0,W
877953,2022-08-21T17:30:00+00:00,530,Atletico Madrid,Villarreal,True,0,2,L
877969,2022-08-29T20:00:00+00:00,530,Atletico Madrid,Valencia,False,1,0,W
877974,2022-09-03T16:30:00+00:00,530,Atletico Madrid,Real Sociedad,False,1,1,D
877982,2022-09-10T19:00:00+00:00,530,Atletico Madrid,Celta Vigo,True,4,1,W
877993,2022-09-18T19:00:00+00:00,530,Atletico Madrid,Real Madrid,True,1,2,L
878006,2022-10-01T16:30:00+00:00,530,Atletico Madrid,Sevilla,False,2,0,W
878012,2022-10-08T14:15:00+00:00,530,Atletico Madrid,Girona,True,2,1,W
878022,2022-10-15T19:00:00+00:00,530,Atletico Madrid,Athletic Club,False,1,0,W
878032,2022-10-18T19:00:00+00:00,530,Atletico Madrid,Rayo Vallecano,True,1,1,D
878046,2022-10-23T14:15:00+00:00,530,Atletico Madrid,Real Betis,False,2,1,W
878056,2022-10-29T14:15:00+00:00,530,Atletico Madrid,Cadiz,False,2,3,L
878062,2022-11-06T13:00:00+00:00,530,Atletico Madrid,Espanyol,True,1,1,D
878076,2022-11-09T20:30:00+00:00,530,Atletico Madrid,Mallorca,False,0,1,L
878082,2022-12-29T20:30:00+00:00,530,Atletico Madrid,Elche,True,2,0,W
878093,2023-01-08T20:00:00+00:00,530,Atletico Madrid,Barcelona,True,0,1,L
878105,2023-01-15T15:15:00+00:00,530,Atletico Madrid,Almeria,False,1,1,D
878113,2023-01-21T17:30:00+00:00,530,Atletico Madrid,Valladolid,True,3,0,W
878126,2023-01-29T15:15:00+00:00,530,Atletico Madrid,Osasuna,False,1,0,W
878133,2023-02-04T17:30:00+00:00,530,Atletico Madrid,Getafe,True,1,1,D
878147,2023-02-12T15:15:00+00:00,530,Atletico Madrid,Celta Vigo,False,1,0,W
878159,2023-02-19T17:30:00+00:00,530,Atletico Madrid,Athletic Club,True,1,0,W
878167,2023-02-25T17:30:00+00:00,530,Atletico Madrid,Real Madrid,False,1,1,D
878172,2023-03-04T20:00:00+00:00,530,Atletico Madrid,Sevilla,True,6,1,W
878187,2023-03-13T20:00:00+00:00,530,Atletico Madrid,Girona,False,1,0,W
878192,2023-03-18T20:00:00+00:00,530,Atletico Madrid,Valencia,True,3,0,W
878203,2023-04-02T19:00:00+00:00,530,Atletico Madrid,Real Betis,True,1,0,W
878217,2023-04-09T19:00:00+00:00,530,Atletico Madrid,Rayo Vallecano,False,2,1,W
878231,2023-04-16T16:30:00+00:00,530,Atletico Madrid,Almeria,True,2,1,W
878235,2023-04-23T14:15:00+00:00,530,Atletico Madrid,Barcelona,False,0,1,L
878243,2023-04-26T17:30:00+00:00,530,Atletico Madrid,Mallorca,True,3,1,W
878258,2023-04-30T19:00:00+00:00,530,Atletico Madrid,Valladolid,False,5,2,W
878263,2023-05-03T20:00:00+00:00,530,Atletico Madrid,Cadiz,True,5,1,W
878275,2023-05-14T14:15:00+00:00,530,Atletico Madrid,Elche,False,0,1,L
878283,2023-05-21T14:15:00+00:00,530,Atletico Madrid,Osasuna,True,3,0,W
878297,2023-05-24T20:00:00+00:00,530,Atletico Madrid,Espanyol,False,3,3,D
878303,2023-05-28T17:00:00+00:00,530,Atletico Madrid,Real Sociedad,True,2,1,W
878316,2023-06-04T16:30:00+00:00,530,Atletico Madrid,Villarreal,False,2,2,D
1037954,2023-08-14T19:30:00+00:00,530,Atletico Madrid,Granada CF,True,3,1,W
1037968,2023-08-20T19:30:00+00:00,530,Atletico Madrid,Real Betis,False,0,0,D
1037977,2023-08-28T19:30:00+00:00,530,Atletico Madrid,Rayo Vallecano,False,7,0,W
1037998,2023-09-16T14:15:00+00:00,530,Atletico Madrid,Valencia,False,0,3,L
1038003,2023-09-24T19:00:00+00:00,530,Atletico Madrid,Real Madrid,True,3,1,W
1038015,2023-09-28T19:30:00+00:00,530,Atletico Madrid,Osasuna,False,2,0,W
1038023,2023-10-01T19:00:00+00:00,530,Atletico Madrid,Cadiz,True,3,2,W
1038032,2023-10-08T14:15:00+00:00,530,Atletico Madrid,Real Sociedad,True,2,1,W
1038045,2023-10-21T19:00:00+00:00,530,Atletico Madrid,Celta Vigo,False,3,0,W
1038061,2023-10-29T20:00:00+00:00,530,Atletico Madrid,Alaves,True,2,1,W
1038066,2023-11-03T20:00:00+00:00,530,Atletico Madrid,Las Palmas,False,1,2,L
1038074,2023-11-12T20:00:00+00:00,530,Atletico Madrid,Villarreal,True,3,1,W
1038082,2023-11-25T20:00:00+00:00,530,Atletico Madrid,Mallorca,True,1,0,W
1038097,2023-12-03T20:00:00+00:00,530,Atletico Madrid,Barcelona,False,0,1,L
1038108,2023-12-10T13:00:00+00:00,530,Atletico Madrid,Almeria,True,2,1,W
1038113,2023-12-16T15:15:00+00:00,530,Atletico Madrid,Athletic Club,False,0,2,L
1038123,2023-12-19T20:30:00+00:00,530,Atletico Madrid,Getafe,True,3,3,D
1037983,2023-12-23T15:15:00+00:00,530,Atletico Madrid,Sevilla,True,1,0,W
1038136,2024-01-03T20:30:00+00:00,530,Atletico Madrid,Girona,False,3,4,L
1038157,2024-01-22T20:00:00+00:00,530,Atletico Madrid,Granada CF,False,1,0,W
1038162,2024-01-28T20:00:00+00:00,530,Atletico Madrid,Valencia,True,2,0,W
1038144,2024-01-31T20:00:00+00:00,530,Atletico Madrid,Rayo Vallecano,True,2,1,W
1038179,2024-02-04T20:00:00+00:00,530,Atletico Madrid,Real Madrid,False,1,1,D
1038187,2024-02-11T17:30:00+00:00,530,Atletico Madrid,Sevilla,False,0,1,L
1038193,2024-02-17T13:00:00+00:00,530,Atletico Madrid,Las Palmas,True,5,0,W
1038202,2024-02-24T20:00:00+00:00,530,Atletico Madrid,Almeria,False,2,2,D
1038213,2024-03-03T15:15:00+00:00,530,Atletico Madrid,Real Betis,True,2,1,W
1038229,2024-03-09T15:15:00+00:00,530,Atletico Madrid,Cadiz,False,0,2,L
1038232,2024-03-17T20:00:00+00:00,530,Atletico Madrid,Barcelona,True,0,3,L
1038249,2024-04-01T19:00:00+00:00,530,Atletico Madrid,Villarreal,False,2,1,W
1038253,2024-04-13T12:00:00+00:00,530,Atletico Madrid,Girona,True,3,1,W
1038266,2024-04-21T16:30:00+00:00,530,Atletico Madrid,Alaves,False,0,2,L
1038278,2024-04-27T19:00:00+00:00,530,Atletico Madrid,Athletic Club,True,3,1,W
1038285,2024-05-04T19:00:00+00:00,530,Atletico Madrid,Mallorca,False,1,0,W
1038293,2024-05-12T14:15:00+00:00,530,Atletico Madrid,Celta Vigo,True,1,0,W
1038306,2024-05-15T20:00:00+00:00,530,Atletico Madrid,Getafe,False,3,0,W
1038313,2024-05-19T17:00:00+00:00,530,Atletico Madrid,Osasuna,True,1,4,L
1038328,2024-05-25T14:15:00+00:00,530,Atletico Madrid,Real Sociedad,False,2,0,W
1208498,2024-08-19T19:30:00+00:00,530,Atletico Madrid,Villarreal,False,2,2,D
1208503,2024-08-25T19:30:00+00:00,530,Atletico Madrid,Girona,True,3,0,W
1212912,2024-08-28T19:30:00+00:00,530,Atletico Madrid,Espanyol,True,0,0,D
1208521,2024-08-31T17:00:00+00:00,530,Atletico Madrid,Athletic Club,False,1,0,W
1208530,2024-09-15T19:00:00+00:00,530,Atletico Madrid,Valencia,True,3,0,W
1208543,2024-09-22T19:00:00+00:00,530,Atletico Madrid,Rayo Vallecano,False,1,1,D
