fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1037961,2023-08-14T17:30:00+00:00,542,Alaves,Cadiz,False,0,1,L
1037966,2023-08-21T17:00:00+00:00,542,Alaves,Sevilla,True,4,3,W
1037981,2023-08-28T17:30:00+00:00,542,Alaves,Getafe,False,0,1,L
1037987,2023-09-02T16:30:00+00:00,542,Alaves,Valencia,True,1,0,W
1038001,2023-09-15T19:00:00+00:00,542,Alaves,Rayo Vallecano,False,0,2,L
1038009,2023-09-22T19:00:00+00:00,542,Alaves,Athletic Club,True,0,2,L
1038021,2023-09-28T17:00:00+00:00,542,Alaves,Celta Vigo,False,1,1,D
1038028,2023-10-01T14:15:00+00:00,542,Alaves,Osasuna,True,0,2,L
1038036,2023-10-08T16:30:00+00:00,542,Alaves,Real Betis,True,1,1,D
1038051,2023-10-22T16:30:00+00:00,542,Alaves,Villarreal,False,1,1,D
1038061,2023-10-29T20:00:00+00:00,542,Alaves,Atletico Madrid,False,1,2,L
1038064,2023-11-05T13:00:00+00:00,542,Alaves,Almeria,True,1,0,W
1038081,2023-11-12T15:15:00+00:00,542,Alaves,Barcelona,False,1,2,L
1038086,2023-11-24T20:00:00+00:00,542,Alaves,Granada CF,True,3,1,W
1038101,2023-12-03T13:00:00+00:00,542,Alaves,Mallorca,False,0,0,D
1038107,2023-12-09T13:00:00+00:00,542,Alaves,Las Palmas,True,0,1,L
1038121,2023-12-18T20:00:00+00:00,542,Alaves,Girona,False,0,3,L
1038129,2023-12-21T20:30:00+00:00,542,Alaves,Real Madrid,True,0,1,L
1038141,2024-01-02T18:15:00+00:00,542,Alaves,Real Sociedad,False,1,1,D
1038151,2024-01-12T20:00:00+00:00,542,Alaves,Sevilla,False,3,2,W
1038154,2024-01-19T20:00:00+00:00,542,Alaves,Cadiz,True,1,0,W
1038171,2024-01-26T20:00:00+00:00,542,Alaves,Almeria,False,3,0,W
1038177,2024-02-03T17:30:00+00:00,542,Alaves,Barcelona,True,1,3,L
1038186,2024-02-10T13:00:00+00:00,542,Alaves,Villarreal,True,1,1,D
1038201,2024-02-18T20:00:00+00:00,542,Alaves,Real Betis,False,0,0,D
1038210,2024-02-24T17:30:00+00:00,542,Alaves,Mallorca,True,1,1,D
1038221,2024-03-04T20:00:00+00:00,542,Alaves,Osasuna,False,0,1,L
1038227,2024-03-10T13:00:00+00:00,542,Alaves,Rayo Vallecano,True,1,0,W
1038241,2024-03-16T20:00:00+00:00,542,Alaves,Athletic Club,False,0,2,L
1038247,2024-03-31T16:30:00+00:00,542,Alaves,Real Sociedad,True,0,1,L
1038261,2024-04-14T14:15:00+00:00,542,Alaves,Granada CF,False,0,2,L
1038266,2024-04-21T16:30:00+00:00,542,Alaves,Atletico Madrid,True,2,0,W
1038277,2024-04-27T16:30:00+00:00,542,Alaves,Celta Vigo,True,3,0,W
1038291,2024-05-05T16:30:00+00:00,542,Alaves,Valencia,False,1,0,W
1038297,2024-05-10T19:00:00+00:00,542,Alaves,Girona,True,2,2,D
1038311,2024-05-14T19:30:00+00:00,542,Alaves,Real Madrid,False,0,5,L
1038317,2024-05-18T19:00:00+00:00,542,Alaves,Getafe,True,1,0,W
1038331,2024-05-26T14:15:00+00:00,542,Alaves,Las Palmas,False,1,1,D
1208501,2024-08-16T17:00:00+00:00,542,Alaves,Celta Vigo,False,1,2,L
1208508,2024-08-25T17:15:00+00:00,542,Alaves,Real Betis,True,0,0,D
1208519,2024-08-28T19:30:00+00:00,542,Alaves,Real Sociedad,False,2,1,W
1208525,2024-09-01T15:00:00+00:00,542,Alaves,Las Palmas,True,2,0,W
