fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877946,2022-08-14T15:30:00+00:00,548,Real Sociedad,Cadiz,False,1,0,W
877957,2022-08-21T20:00:00+00:00,548,Real Sociedad,Barcelona,True,1,4,L
877964,2022-08-27T15:30:00+00:00,548,Real Sociedad,Elche,False,1,0,W
877974,2022-09-03T16:30:00+00:00,548,Real Sociedad,Atletico Madrid,True,1,1,D
877984,2022-09-11T16:30:00+00:00,548,Real Sociedad,Getafe,False,1,2,L
877999,2022-09-18T16:30:00+00:00,548,Real Sociedad,Espanyol,True,2,1,W
878005,2022-10-02T16:30:00+00:00,548,Real Sociedad,Girona,False,5,3,W
878018,2022-10-09T16:30:00+00:00,548,Real Sociedad,Villarreal,True,1,0,W
878023,2022-10-16T12:00:00+00:00,548,Real Sociedad,Celta Vigo,False,2,1,W
878040,2022-10-19T18:00:00+00:00,548,Real Sociedad,Mallorca,True,1,0,W
878050,2022-10-22T14:15:00+00:00,548,Real Sociedad,Valladolid,False,0,1,L
878058,2022-10-30T20:00:00+00:00,548,Real Sociedad,Real Betis,True,0,2,L
878065,2022-11-06T15:15:00+00:00,548,Real Sociedad,Valencia,True,1,1,D
878081,2022-11-09T18:00:00+00:00,548,Real Sociedad,Sevilla,False,2,1,W
878088,2022-12-31T15:15:00+00:00,548,Real Sociedad,Osasuna,True,2,0,W
878096,2023-01-08T13:00:00+00:00,548,Real Sociedad,Almeria,False,2,0,W
878107,2023-01-14T20:00:00+00:00,548,Real Sociedad,Athletic Club,True,3,1,W
878116,2023-01-21T13:00:00+00:00,548,Real Sociedad,Rayo Vallecano,False,2,0,W
878123,2023-01-29T20:00:00+00:00,548,Real Sociedad,Real Madrid,False,0,0,D
878139,2023-02-05T17:30:00+00:00,548,Real Sociedad,Valladolid,True,0,1,L
878144,2023-02-13T20:00:00+00:00,548,Real Sociedad,Espanyol,False,3,2,W
878160,2023-02-18T13:00:00+00:00,548,Real Sociedad,Celta Vigo,True,1,1,D
878171,2023-02-25T20:00:00+00:00,548,Real Sociedad,Valencia,False,0,1,L
878180,2023-03-03T20:00:00+00:00,548,Real Sociedad,Cadiz,True,0,0,D
878185,2023-03-12T13:00:00+00:00,548,Real Sociedad,Mallorca,False,1,1,D
878200,2023-03-19T15:15:00+00:00,548,Real Sociedad,Elche,True,2,0,W
878209,2023-04-02T16:30:00+00:00,548,Real Sociedad,Villarreal,False,0,2,L
878221,2023-04-08T16:30:00+00:00,548,Real Sociedad,Getafe,True,2,0,W
878222,2023-04-15T14:15:00+00:00,548,Real Sociedad,Athletic Club,False,0,2,L
878240,2023-04-22T16:30:00+00:00,548,Real Sociedad,Rayo Vallecano,True,2,1,W
878244,2023-04-25T20:00:00+00:00,548,Real Sociedad,Real Betis,False,0,0,D
878256,2023-04-28T19:00:00+00:00,548,Real Sociedad,Osasuna,False,2,0,W
878271,2023-05-02T20:00:00+00:00,548,Real Sociedad,Real Madrid,True,2,0,W
878281,2023-05-13T12:00:00+00:00,548,Real Sociedad,Girona,True,2,2,D
878284,2023-05-20T19:00:00+00:00,548,Real Sociedad,Barcelona,False,2,1,W
878301,2023-05-23T17:30:00+00:00,548,Real Sociedad,Almeria,True,1,0,W
878303,2023-05-28T17:00:00+00:00,548,Real Sociedad,Atletico Madrid,False,1,2,L
878314,2023-06-04T16:30:00+00:00,548,Real Sociedad,Sevilla,True,2,1,W
1037960,2023-08-12T15:00:00+00:00,548,Real Sociedad,Girona,True,1,1,D
1037969,2023-08-19T15:00:00+00:00,548,Real Sociedad,Celta Vigo,True,1,1,D
1037975,2023-08-25T17:30:00+00:00,548,Real Sociedad,Las Palmas,False,0,0,D
1037991,2023-09-02T12:00:00+00:00,548,Real Sociedad,Granada CF,True,5,3,W
1037996,2023-09-17T19:00:00+00:00,548,Real Sociedad,Real Madrid,False,1,2,L
1038010,2023-09-24T12:00:00+00:00,548,Real Sociedad,Getafe,True,4,3,W
1038019,2023-09-27T19:30:00+00:00,548,Real Sociedad,Valencia,False,1,0,W
1038029,2023-09-30T19:00:00+00:00,548,Real Sociedad,Athletic Club,True,3,0,W
1038032,2023-10-08T14:15:00+00:00,548,Real Sociedad,Atletico Madrid,False,1,2,L
1038048,2023-10-21T12:00:00+00:00,548,Real Sociedad,Mallorca,True,1,0,W
1038057,2023-10-29T15:15:00+00:00,548,Real Sociedad,Rayo Vallecano,False,2,2,D
1038067,2023-11-04T20:00:00+00:00,548,Real Sociedad,Barcelona,True,0,1,L
1038072,2023-11-11T15:15:00+00:00,548,Real Sociedad,Almeria,False,3,1,W
1038085,2023-11-26T15:15:00+00:00,548,Real Sociedad,Sevilla,True,2,1,W
1038095,2023-12-02T20:00:00+00:00,548,Real Sociedad,Osasuna,False,1,1,D
1038111,2023-12-09T17:30:00+00:00,548,Real Sociedad,Villarreal,False,3,0,W
1038118,2023-12-17T15:15:00+00:00,548,Real Sociedad,Real Betis,True,0,0,D
1038125,2023-12-21T18:00:00+00:00,548,Real Sociedad,Cadiz,False,0,0,D
1038141,2024-01-02T18:15:00+00:00,548,Real Sociedad,Alaves,True,1,1,D
1038143,2024-01-13T17:30:00+00:00,548,Real Sociedad,Athletic Club,False,1,2,L
1038152,2024-01-20T20:00:00+00:00,548,Real Sociedad,Celta Vigo,False,1,0,W
1038170,2024-01-27T13:00:00+00:00,548,Real Sociedad,Rayo Vallecano,True,0,0,D
1038174,2024-02-03T20:00:00+00:00,548,Real Sociedad,Girona,False,0,0,D
1038191,2024-02-10T15:15:00+00:00,548,Real Sociedad,Osasuna,True,0,1,L
1038194,2024-02-18T17:30:00+00:00,548,Real Sociedad,Mallorca,False,2,1,W
1038207,2024-02-23T20:00:00+00:00,548,Real Sociedad,Villarreal,True,1,3,L
1038219,2024-03-02T13:00:00+00:00,548,Real Sociedad,Sevilla,False,2,3,L
1038226,2024-03-09T17:30:00+00:00,548,Real Sociedad,Granada CF,False,3,2,W
1038237,2024-03-15T20:00:00+00:00,548,Real Sociedad,Cadiz,True,2,0,W
1038247,2024-03-31T16:30:00+00:00,548,Real Sociedad,Alaves,False,1,0,W
1038258,2024-04-14T19:00:00+00:00,548,Real Sociedad,Almeria,True,2,2,D
1038265,2024-04-21T12:00:00+00:00,548,Real Sociedad,Getafe,False,1,1,D
1038281,2024-04-26T19:00:00+00:00,548,Real Sociedad,Real Madrid,True,0,1,L
1038290,2024-05-04T12:00:00+00:00,548,Real Sociedad,Las Palmas,True,2,0,W
1038294,2024-05-13T19:00:00+00:00,548,Real Sociedad,Barcelona,False,0,2,L
1038304,2024-05-16T20:00:00+00:00,548,Real Sociedad,Valencia,True,1,0,W
1038315,2024-05-19T17:00:00+00:00,548,Real Sociedad,Real Betis,False,2,0,W
1038328,2024-05-25T14:15:00+00:00,548,Real Sociedad,Atletico Madrid,True,0,2,L
1208500,2024-08-18T17:00:00+00:00,548,Real Sociedad,Rayo Vallecano,True,1,2,L
1212911,2024-08-24T19:30:00+00:00,548,Real Sociedad,Espanyol,False,1,0,W
1208519,2024-08-28T19:30:00+00:00,548,Real Sociedad,Alaves,True,1,2,L
