fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1037954,2023-08-14T19:30:00+00:00,715,Granada CF,Atletico Madrid,False,1,3,L
1037965,2023-08-21T19:30:00+00:00,715,Granada CF,Rayo Vallecano,True,0,2,L
1037974,2023-08-26T17:30:00+00:00,715,Granada CF,Mallorca,True,3,2,W
1037991,2023-09-02T12:00:00+00:00,715,Granada CF,Real Sociedad,False,3,5,L
1037999,2023-09-18T19:00:00+00:00,715,Granada CF,Girona,True,2,4,L
1038011,2023-09-24T16:30:00+00:00,715,Granada CF,Las Palmas,False,0,1,L
1038017,2023-09-28T17:00:00+00:00,715,Granada CF,Real Betis,True,1,1,D
1038022,2023-10-01T12:00:00+00:00,715,Granada CF,Almeria,False,3,3,D
1038038,2023-10-08T19:00:00+00:00,715,Granada CF,Barcelona,True,2,2,D
1038050,2023-10-20T19:00:00+00:00,715,Granada CF,Osasuna,False,0,2,L
1038058,2023-10-30T20:00:00+00:00,715,Granada CF,Villarreal,True,2,3,L
1038071,2023-11-05T15:15:00+00:00,715,Granada CF,Valencia,False,0,1,L
1038078,2023-11-11T17:30:00+00:00,715,Granada CF,Getafe,True,1,1,D
1038086,2023-11-24T20:00:00+00:00,715,Granada CF,Alaves,False,1,3,L
1038100,2023-12-02T17:30:00+00:00,715,Granada CF,Real Madrid,False,0,2,L
1038109,2023-12-11T15:15:00+00:00,715,Granada CF,Athletic Club,True,1,1,D
1038114,2023-12-16T13:00:00+00:00,715,Granada CF,Celta Vigo,False,0,1,L
1038128,2023-12-19T20:30:00+00:00,715,Granada CF,Sevilla,True,0,3,L
1038139,2024-01-03T16:00:00+00:00,715,Granada CF,Cadiz,True,2,0,W
1038146,2024-01-13T20:00:00+00:00,715,Granada CF,Real Betis,False,0,1,L
1038157,2024-01-22T20:00:00+00:00,715,Granada CF,Atletico Madrid,True,0,1,L
1038165,2024-01-29T20:00:00+00:00,715,Granada CF,Getafe,False,0,2,L
1038176,2024-02-03T15:15:00+00:00,715,Granada CF,Las Palmas,True,1,1,D
1038183,2024-02-11T20:00:00+00:00,715,Granada CF,Barcelona,False,3,3,D
1038196,2024-02-18T15:15:00+00:00,715,Granada CF,Almeria,True,1,1,D
1038220,2024-03-03T13:00:00+00:00,715,Granada CF,Villarreal,False,1,5,L
1038226,2024-03-09T17:30:00+00:00,715,Granada CF,Real Sociedad,True,2,3,L
1038240,2024-03-16T13:00:00+00:00,715,Granada CF,Mallorca,False,0,1,L
1038244,2024-03-29T20:00:00+00:00,715,Granada CF,Cadiz,False,0,1,L
1038208,2024-04-04T18:00:00+00:00,715,Granada CF,Valencia,True,0,1,L
1038261,2024-04-14T14:15:00+00:00,715,Granada CF,Alaves,True,2,0,W
1038263,2024-04-19T19:00:00+00:00,715,Granada CF,Athletic Club,False,1,1,D
1038276,2024-04-28T14:15:00+00:00,715,Granada CF,Osasuna,True,3,0,W
1038289,2024-05-05T19:00:00+00:00,715,Granada CF,Sevilla,False,0,3,L
1038296,2024-05-11T16:30:00+00:00,715,Granada CF,Real Madrid,True,0,4,L
1038310,2024-05-15T17:30:00+00:00,715,Granada CF,Rayo Vallecano,False,1,2,L
1038319,2024-05-19T17:00:00+00:00,715,Granada CF,Celta Vigo,True,1,2,L
1038325,2024-05-24T19:00:00+00:00,715,Granada CF,Girona,False,0,7,L
