fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877948,2022-08-14T20:00:00+00:00,723,Almeria,Real Madrid,True,1,2,L
877961,2022-08-22T18:00:00+00:00,723,Almeria,Elche,False,1,1,D
877967,2022-08-27T20:00:00+00:00,723,Almeria,Sevilla,True,2,1,W
877980,2022-09-05T19:00:00+00:00,723,Almeria,Valladolid,False,0,1,L
877987,2022-09-12T19:00:00+00:00,723,Almeria,Osasuna,True,0,1,L
878001,2022-09-17T12:00:00+00:00,723,Almeria,Mallorca,False,0,1,L
878011,2022-09-30T19:00:00+00:00,723,Almeria,Athletic Club,False,0,4,L
878019,2022-10-08T12:00:00+00:00,723,Almeria,Rayo Vallecano,True,3,1,W
878031,2022-10-16T19:00:00+00:00,723,Almeria,Real Betis,False,1,3,L
878036,2022-10-20T17:00:00+00:00,723,Almeria,Girona,True,3,2,W
878051,2022-10-23T16:30:00+00:00,723,Almeria,Villarreal,False,1,2,L
878055,2022-10-29T12:00:00+00:00,723,Almeria,Celta Vigo,True,3,1,W
878071,2022-11-05T20:00:00+00:00,723,Almeria,Barcelona,False,0,2,L
878075,2022-11-09T18:00:00+00:00,723,Almeria,Getafe,True,1,0,W
878091,2022-12-30T18:15:00+00:00,723,Almeria,Cadiz,False,1,1,D
878096,2023-01-08T13:00:00+00:00,723,Almeria,Real Sociedad,True,0,2,L
878105,2023-01-15T15:15:00+00:00,723,Almeria,Atletico Madrid,True,1,1,D
878120,2023-01-23T20:00:00+00:00,723,Almeria,Valencia,False,2,2,D
878124,2023-01-27T20:00:00+00:00,723,Almeria,Espanyol,True,3,1,W
878141,2023-02-06T20:00:00+00:00,723,Almeria,Rayo Vallecano,False,0,2,L
878145,2023-02-11T15:15:00+00:00,723,Almeria,Real Betis,True,2,3,L
878161,2023-02-17T20:00:00+00:00,723,Almeria,Girona,False,2,6,L
878166,2023-02-26T17:30:00+00:00,723,Almeria,Barcelona,True,1,0,W
878176,2023-03-04T15:15:00+00:00,723,Almeria,Villarreal,True,0,2,L
878191,2023-03-12T15:15:00+00:00,723,Almeria,Sevilla,False,1,2,L
878197,2023-03-18T13:00:00+00:00,723,Almeria,Cadiz,True,1,1,D
878211,2023-04-02T12:00:00+00:00,723,Almeria,Celta Vigo,False,2,2,D
878215,2023-04-09T16:30:00+00:00,723,Almeria,Valencia,True,2,1,W
878231,2023-04-16T16:30:00+00:00,723,Almeria,Atletico Madrid,False,1,2,L
878234,2023-04-22T14:15:00+00:00,723,Almeria,Athletic Club,True,1,2,L
878251,2023-04-26T17:30:00+00:00,723,Almeria,Getafe,False,2,1,W
878260,2023-04-29T16:30:00+00:00,723,Almeria,Real Madrid,False,2,4,L
878267,2023-05-02T17:30:00+00:00,723,Almeria,Elche,True,2,1,W
878280,2023-05-13T14:15:00+00:00,723,Almeria,Osasuna,False,1,3,L
878286,2023-05-20T16:30:00+00:00,723,Almeria,Mallorca,True,3,0,W
878301,2023-05-23T17:30:00+00:00,723,Almeria,Real Sociedad,False,0,1,L
878308,2023-05-28T17:00:00+00:00,723,Almeria,Valladolid,True,0,0,D
878320,2023-06-04T19:00:00+00:00,723,Almeria,Espanyol,False,3,3,D
1037952,2023-08-11T17:30:00+00:00,723,Almeria,Rayo Vallecano,True,0,2,L
1037962,2023-08-19T17:30:00+00:00,723,Almeria,Real Madrid,True,1,3,L
1037976,2023-08-26T17:00:00+00:00,723,Almeria,Cadiz,False,1,1,D
1037982,2023-09-01T20:00:00+00:00,723,Almeria,Celta Vigo,True,2,3,L
1037997,2023-09-17T14:15:00+00:00,723,Almeria,Villarreal,False,1,2,L
1038002,2023-09-23T19:00:00+00:00,723,Almeria,Valencia,True,2,2,D
