fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877947,2022-08-12T19:00:00+00:00,727,Osasuna,Sevilla,True,2,1,W
877960,2022-08-20T15:30:00+00:00,727,Osasuna,Cadiz,True,2,0,W
877963,2022-08-26T20:00:00+00:00,727,Osasuna,Real Betis,False,0,1,L
877973,2022-09-04T12:00:00+00:00,727,Osasuna,Rayo Vallecano,True,2,1,W
877987,2022-09-12T19:00:00+00:00,727,Osasuna,Almeria,False,1,0,W
877997,2022-09-18T12:00:00+00:00,727,Osasuna,Getafe,True,0,2,L
878010,2022-10-02T19:00:00+00:00,727,Osasuna,Real Madrid,False,1,1,D
878017,2022-10-07T19:00:00+00:00,727,Osasuna,Valencia,True,1,2,L
878030,2022-10-17T19:00:00+00:00,727,Osasuna,Villarreal,False,0,2,L
878041,2022-10-20T18:00:00+00:00,727,Osasuna,Espanyol,True,1,0,W
878044,2022-10-23T16:30:00+00:00,727,Osasuna,Girona,False,1,1,D
878054,2022-10-30T13:00:00+00:00,727,Osasuna,Valladolid,True,2,0,W
878064,2022-11-05T17:30:00+00:00,727,Osasuna,Celta Vigo,False,2,1,W
878077,2022-11-08T20:30:00+00:00,727,Osasuna,Barcelona,True,1,2,L
878088,2022-12-31T15:15:00+00:00,727,Osasuna,Real Sociedad,False,0,2,L
878092,2023-01-09T20:00:00+00:00,727,Osasuna,Athletic Club,False,0,0,D
878109,2023-01-14T17:30:00+00:00,727,Osasuna,Mallorca,True,1,0,W
878115,2023-01-22T15:15:00+00:00,727,Osasuna,Elche,False,1,1,D
878126,2023-01-29T15:15:00+00:00,727,Osasuna,Atletico Madrid,True,0,1,L
878138,2023-02-04T13:00:00+00:00,727,Osasuna,Espanyol,False,1,1,D
878151,2023-02-12T17:30:00+00:00,727,Osasuna,Valladolid,False,0,0,D
878157,2023-02-18T20:00:00+00:00,727,Osasuna,Real Madrid,True,0,2,L
878170,2023-02-26T20:00:00+00:00,727,Osasuna,Sevilla,False,3,2,W
878178,2023-03-06T20:00:00+00:00,727,Osasuna,Celta Vigo,True,0,0,D
878190,2023-03-11T20:00:00+00:00,727,Osasuna,Valencia,False,0,1,L
878196,2023-03-19T15:15:00+00:00,727,Osasuna,Villarreal,True,0,3,L
878204,2023-03-31T19:00:00+00:00,727,Osasuna,Mallorca,False,0,0,D
