fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877944,2022-08-15T19:30:00+00:00,797,Elche,Real Betis,False,0,3,L
877961,2022-08-22T18:00:00+00:00,797,Elche,Almeria,True,1,1,D
877964,2022-08-27T15:30:00+00:00,797,Elche,Real Sociedad,True,0,1,L
877977,2022-09-04T16:30:00+00:00,797,Elche,Villarreal,False,0,4,L
877989,2022-09-11T14:15:00+00:00,797,Elche,Athletic Club,True,1,4,L
877994,2022-09-17T14:15:00+00:00,797,Elche,Barcelona,False,0,3,L
878009,2022-10-03T19:00:00+00:00,797,Elche,Rayo Vallecano,False,1,2,L
878014,2022-10-10T19:00:00+00:00,797,Elche,Mallorca,True,1,1,D
878027,2022-10-15T14:15:00+00:00,797,Elche,Valencia,False,2,2,D
878034,2022-10-19T19:00:00+00:00,797,Elche,Real Madrid,True,0,3,L
878047,2022-10-23T12:00:00+00:00,797,Elche,Espanyol,False,2,2,D
878053,2022-10-31T20:00:00+00:00,797,Elche,Getafe,True,0,1,L
878068,2022-11-05T15:15:00+00:00,797,Elche,Valladolid,False,1,2,L
878073,2022-11-08T18:00:00+00:00,797,Elche,Girona,True,1,2,L
878082,2022-12-29T20:30:00+00:00,797,Elche,Atletico Madrid,False,0,2,L
878098,2023-01-06T17:30:00+00:00,797,Elche,Celta Vigo,True,0,1,L
878103,2023-01-16T20:00:00+00:00,797,Elche,Cadiz,False,1,1,D
878115,2023-01-22T15:15:00+00:00,797,Elche,Osasuna,True,1,1,D
878129,2023-01-28T17:30:00+00:00,797,Elche,Sevilla,False,0,3,L
878136,2023-02-04T15:15:00+00:00,797,Elche,Villarreal,True,3,1,W
878149,2023-02-15T20:00:00+00:00,797,Elche,Real Madrid,False,0,4,L
878154,2023-02-19T13:00:00+00:00,797,Elche,Espanyol,True,0,1,L
878168,2023-02-24T20:00:00+00:00,797,Elche,Real Betis,True,2,3,L
878179,2023-03-04T17:30:00+00:00,797,Elche,Mallorca,False,1,0,W
878184,2023-03-11T15:15:00+00:00,797,Elche,Valladolid,True,1,1,D
878200,2023-03-19T15:15:00+00:00,797,Elche,Real Sociedad,False,0,2,L
878207,2023-04-01T19:00:00+00:00,797,Elche,Barcelona,True,0,4,L
878219,2023-04-08T12:00:00+00:00,797,Elche,Osasuna,False,1,2,L
878228,2023-04-16T12:00:00+00:00,797,Elche,Girona,False,0,2,L
878232,2023-04-23T12:00:00+00:00,797,Elche,Valencia,True,0,2,L
878245,2023-04-26T20:00:00+00:00,797,Elche,Celta Vigo,False,0,1,L
878253,2023-04-29T14:15:00+00:00,797,Elche,Rayo Vallecano,True,4,0,W
878267,2023-05-02T17:30:00+00:00,797,Elche,Almeria,False,1,2,L
878275,2023-05-14T14:15:00+00:00,797,Elche,Atletico Madrid,True,1,0,W
878289,2023-05-20T16:30:00+00:00,797,Elche,Getafe,False,1,1,D
878294,2023-05-24T17:30:00+00:00,797,Elche,Sevilla,True,1,1,D
878302,2023-05-28T17:00:00+00:00,797,Elche,Athletic Club,False,1,0,W
878319,2023-06-04T19:00:00+00:00,797,Elche,Cadiz,True,1,1,D
