fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
877942,2022-08-15T15:30:00+00:00,798,Mallorca,Athletic Club,False,0,0,D
877958,2022-08-20T17:30:00+00:00,798,Mallorca,Real Betis,True,1,2,L
877971,2022-08-27T17:30:00+00:00,798,Mallorca,Rayo Vallecano,False,2,0,W
877981,2022-09-03T12:00:00+00:00,798,Mallorca,Girona,True,1,1,D
877991,2022-09-11T12:00:00+00:00,798,Mallorca,Real Madrid,False,1,4,L
878001,2022-09-17T12:00:00+00:00,798,Mallorca,Almeria,True,1,0,W
878007,2022-10-01T19:00:00+00:00,798,Mallorca,Barcelona,True,0,1,L
878014,2022-10-10T19:00:00+00:00,798,Mallorca,Elche,False,1,1,D
878024,2022-10-15T16:30:00+00:00,798,Mallorca,Sevilla,True,0,1,L
878040,2022-10-19T18:00:00+00:00,798,Mallorca,Real Sociedad,False,0,1,L
878048,2022-10-22T16:30:00+00:00,798,Mallorca,Valencia,False,2,1,W
878059,2022-10-28T19:00:00+00:00,798,Mallorca,Espanyol,True,1,1,D
878069,2022-11-06T17:30:00+00:00,798,Mallorca,Villarreal,False,2,0,W
878076,2022-11-09T20:30:00+00:00,798,Mallorca,Atletico Madrid,True,1,0,W
878085,2022-12-30T16:00:00+00:00,798,Mallorca,Getafe,False,0,2,L
878094,2023-01-07T17:30:00+00:00,798,Mallorca,Valladolid,True,1,0,W
878109,2023-01-14T17:30:00+00:00,798,Mallorca,Osasuna,False,0,1,L
878118,2023-01-20T20:00:00+00:00,798,Mallorca,Celta Vigo,True,1,0,W
878122,2023-01-28T13:00:00+00:00,798,Mallorca,Cadiz,False,0,2,L
878137,2023-02-05T13:00:00+00:00,798,Mallorca,Real Madrid,True,1,0,W
878150,2023-02-11T17:30:00+00:00,798,Mallorca,Sevilla,False,0,2,L
878155,2023-02-18T17:30:00+00:00,798,Mallorca,Villarreal,True,4,2,W
878165,2023-02-25T13:00:00+00:00,798,Mallorca,Espanyol,False,1,2,L
878179,2023-03-04T17:30:00+00:00,798,Mallorca,Elche,True,0,1,L
878185,2023-03-12T13:00:00+00:00,798,Mallorca,Real Sociedad,True,1,1,D
