fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871475,2022-08-07T13:00:00+00:00,79,Lille,Auxerre,True,4,1,W
871484,2022-08-12T19:00:00+00:00,79,Lille,Nantes,False,1,1,D
871493,2022-08-21T18:45:00+00:00,79,Lille,Paris Saint Germain,True,1,7,L
871500,2022-08-26T19:00:00+00:00,79,Lille,Ajaccio,False,3,1,W
871512,2022-08-31T19:00:00+00:00,79,Lille,Nice,True,1,2,L
871524,2022-09-04T11:00:00+00:00,79,Lille,Montpellier,False,3,1,W
871534,2022-09-10T19:00:00+00:00,79,Lille,Marseille,False,1,2,L
871543,2022-09-17T19:00:00+00:00,79,Lille,Toulouse,True,2,1,W
871554,2022-10-02T11:00:00+00:00,79,Lille,Lorient,False,1,2,L
871562,2022-10-09T18:45:00+00:00,79,Lille,Lens,True,1,0,W
871576,2022-10-14T19:00:00+00:00,79,Lille,Strasbourg,False,3,0,W
871583,2022-10-23T18:45:00+00:00,79,Lille,Monaco,True,4,3,W
871594,2022-10-30T19:45:00+00:00,79,Lille,Lyon,False,0,1,L
871604,2022-11-06T16:05:00+00:00,79,Lille,Rennes,True,1,1,D
871612,2022-11-13T14:00:00+00:00,79,Lille,Angers,True,1,0,W
871622,2022-12-28T18:00:00+00:00,79,Lille,Clermont Foot,False,2,0,W
871632,2023-01-02T16:00:00+00:00,79,Lille,Reims,True,1,1,D
871648,2023-01-11T18:00:00+00:00,79,Lille,Stade Brestois 29,False,0,0,D
871652,2023-01-15T12:00:00+00:00,79,Lille,Estac Troyes,True,5,1,W
871664,2023-01-29T12:00:00+00:00,79,Lille,Nice,False,0,1,L
871675,2023-02-01T18:00:00+00:00,79,Lille,Clermont Foot,True,0,0,D
871688,2023-02-04T20:00:00+00:00,79,Lille,Rennes,False,3,1,W
871694,2023-02-12T14:00:00+00:00,79,Lille,Strasbourg,True,2,0,W
871703,2023-02-19T12:00:00+00:00,79,Lille,Paris Saint Germain,False,3,4,L
871716,2023-02-24T20:00:00+00:00,79,Lille,Stade Brestois 29,True,2,1,W
871724,2023-03-04T16:00:00+00:00,79,Lille,Lens,False,1,1,D
871737,2023-03-10T20:00:00+00:00,79,Lille,Lyon,True,3,3,D
871748,2023-03-18T16:00:00+00:00,79,Lille,Toulouse,False,2,0,W
