fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871477,2022-08-07T13:00:00+00:00,82,Montpellier,Estac Troyes,True,3,2,W
871486,2022-08-13T19:00:00+00:00,82,Montpellier,Paris Saint Germain,False,2,5,L
871494,2022-08-21T13:00:00+00:00,82,Montpellier,Auxerre,True,1,2,L
871507,2022-08-28T13:00:00+00:00,82,Montpellier,Stade Brestois 29,False,7,0,W
871513,2022-08-31T17:00:00+00:00,82,Montpellier,Ajaccio,True,2,0,W
871524,2022-09-04T11:00:00+00:00,82,Montpellier,Lille,True,1,3,L
871532,2022-09-11T13:00:00+00:00,82,Montpellier,Angers,False,1,2,L
871544,2022-09-17T15:00:00+00:00,82,Montpellier,Strasbourg,True,2,1,W
871558,2022-10-02T13:00:00+00:00,82,Montpellier,Toulouse,False,2,4,L
871563,2022-10-09T11:00:00+00:00,82,Montpellier,Monaco,True,0,2,L
871575,2022-10-15T19:00:00+00:00,82,Montpellier,Lens,False,0,1,L
871584,2022-10-22T15:00:00+00:00,82,Montpellier,Lyon,True,1,2,L
871599,2022-10-30T14:00:00+00:00,82,Montpellier,Rennes,False,0,3,L
871602,2022-11-06T14:00:00+00:00,82,Montpellier,Clermont Foot,False,1,1,D
871613,2022-11-13T14:00:00+00:00,82,Montpellier,Reims,True,1,1,D
871623,2022-12-29T16:00:00+00:00,82,Montpellier,Lorient,False,2,0,W
871638,2023-01-02T18:00:00+00:00,82,Montpellier,Marseille,True,1,2,L
871645,2023-01-11T20:00:00+00:00,82,Montpellier,Nice,False,1,6,L
871653,2023-01-15T14:00:00+00:00,82,Montpellier,Nantes,True,0,3,L
871661,2023-01-29T14:00:00+00:00,82,Montpellier,Auxerre,False,2,0,W
871676,2023-02-01T20:00:00+00:00,82,Montpellier,Paris Saint Germain,True,1,3,L
871686,2023-02-05T14:00:00+00:00,82,Montpellier,Strasbourg,False,0,2,L
871695,2023-02-12T14:00:00+00:00,82,Montpellier,Stade Brestois 29,True,3,0,W
871709,2023-02-19T14:00:00+00:00,82,Montpellier,Estac Troyes,False,1,0,W
871717,2023-02-25T20:00:00+00:00,82,Montpellier,Lens,True,1,1,D
871720,2023-03-05T14:00:00+00:00,82,Montpellier,Angers,True,5,0,W
871730,2023-03-12T14:00:00+00:00,82,Montpellier,Ajaccio,False,1,0,W
871741,2023-03-19T14:00:00+00:00,82,Montpellier,Clermont Foot,True,2,1,W
871756,2023-03-31T19:00:00+00:00,82,Montpellier,Marseille,False,1,1,D
871764,2023-04-09T13:00:00+00:00,82,Montpellier,Toulouse,True,1,2,L
871773,2023-04-16T11:00:00+00:00,82,Montpellier,Lille,False,1,2,L
871785,2023-04-23T15:05:00+00:00,82,Montpellier,Rennes,True,1,0,W
871790,2023-04-30T11:00:00+00:00,82,Montpellier,Monaco,False,4,0,W
871806,2023-05-07T15:05:00+00:00,82,Montpellier,Lyon,False,4,5,L
871812,2023-05-14T13:00:00+00:00,82,Montpellier,Lorient,True,1,1,D
871823,2023-05-20T15:00:00+00:00,82,Montpellier,Nantes,False,3,0,W
871833,2023-05-27T19:00:00+00:00,82,Montpellier,Nice,True,2,3,L
871848,2023-06-03T19:00:00+00:00,82,Montpellier,Reims,False,3,1,W
1044888,2023-08-13T13:00:00+00:00,82,Montpellier,Le Havre,True,2,2,D
1044894,2023-08-19T17:00:00+00:00,82,Montpellier,Lyon,False,4,1,W
1044907,2023-08-27T13:00:00+00:00,82,Montpellier,Reims,True,1,3,L
1044910,2023-09-03T13:00:00+00:00,82,Montpellier,Lille,False,0,1,L
1044918,2023-09-17T13:00:00+00:00,82,Montpellier,Strasbourg,False,2,2,D
1044933,2023-09-24T15:05:00+00:00,82,Montpellier,Rennes,True,0,0,D
1044938,2023-10-01T15:05:00+00:00,82,Montpellier,Lorient,False,3,0,W
1044960,2023-10-22T13:00:00+00:00,82,Montpellier,Nantes,False,0,2,L
1044969,2023-10-29T14:00:00+00:00,82,Montpellier,Toulouse,True,3,0,W
1044971,2023-11-03T20:00:00+00:00,82,Montpellier,Paris Saint Germain,False,0,3,L
1044987,2023-11-10T20:00:00+00:00,82,Montpellier,Nice,True,0,0,D
1044997,2023-11-26T14:00:00+00:00,82,Montpellier,Stade Brestois 29,True,1,3,L
1044951,2023-11-29T18:00:00+00:00,82,Montpellier,Clermont Foot,True,1,1,D
1045000,2023-12-03T14:00:00+00:00,82,Montpellier,Monaco,False,0,2,L
1045015,2023-12-08T20:00:00+00:00,82,Montpellier,Lens,True,0,0,D
1045024,2023-12-17T14:00:00+00:00,82,Montpellier,Metz,False,1,0,W
1045032,2023-12-20T20:00:00+00:00,82,Montpellier,Marseille,True,1,1,D
1045041,2024-01-14T14:00:00+00:00,82,Montpellier,Stade Brestois 29,False,0,2,L
1045051,2024-01-28T12:00:00+00:00,82,Montpellier,Lille,True,0,0,D
1045053,2024-02-03T16:00:00+00:00,82,Montpellier,Rennes,False,1,2,L
1045069,2024-02-11T16:05:00+00:00,82,Montpellier,Lyon,True,1,2,L
1045077,2024-02-18T14:00:00+00:00,82,Montpellier,Metz,True,3,0,W
1045082,2024-02-25T19:45:00+00:00,82,Montpellier,Marseille,False,1,4,L
1045095,2024-03-03T14:00:00+00:00,82,Montpellier,Strasbourg,True,2,2,D
1045102,2024-03-08T20:00:00+00:00,82,Montpellier,Nice,False,2,1,W
1045113,2024-03-17T19:45:00+00:00,82,Montpellier,Paris Saint Germain,True,2,6,L
1045122,2024-03-31T13:00:00+00:00,82,Montpellier,Le Havre,False,2,0,W
1045131,2024-04-07T13:00:00+00:00,82,Montpellier,Lorient,True,2,0,W
1045139,2024-04-14T13:00:00+00:00,82,Montpellier,Clermont Foot,False,1,1,D
1045146,2024-04-21T13:00:00+00:00,82,Montpellier,Reims,False,2,1,W
1045159,2024-04-26T19:00:00+00:00,82,Montpellier,Nantes,True,1,1,D
1045160,2024-05-03T17:00:00+00:00,82,Montpellier,Toulouse,False,2,1,W
1045176,2024-05-12T19:00:00+00:00,82,Montpellier,Monaco,True,0,2,L
1045184,2024-05-19T19:00:00+00:00,82,Montpellier,Lens,False,2,2,D
1213748,2024-08-18T15:00:00+00:00,82,Montpellier,Strasbourg,True,1,1,D
1213756,2024-08-23T18:45:00+00:00,82,Montpellier,Paris Saint Germain,False,0,6,L
1213768,2024-08-31T17:00:00+00:00,82,Montpellier,Nantes,True,1,3,L
1213775,2024-09-15T13:00:00+00:00,82,Montpellier,Rennes,False,0,3,L
1213788,2024-09-22T15:00:00+00:00,82,Montpellier,Auxerre,True,3,2,W
1213799,2024-09-28T19:00:00+00:00,82,Montpellier,Monaco,False,1,2,L
1213809,2024-10-06T15:00:00+00:00,82,Montpellier,Reims,False,2,4,L
1213814,2024-10-20T18:45:00+00:00,82,Montpellier,Marseille,True,0,5,L
1213823,2024-10-27T15:00:00+00:00,82,Montpellier,Toulouse,True,0,3,L
1213831,2024-11-03T16:00:00+00:00,82,Montpellier,Le Havre,False,0,1,L
1213839,2024-11-10T16:00:00+00:00,82,Montpellier,Stade Brestois 29,True,3,1,W
1213849,2024-11-23T18:00:00+00:00,82,Montpellier,Saint Etienne,False,0,1,L
1213860,2024-12-01T14:00:00+00:00,82,Montpellier,Lille,True,2,2,D
1213869,2024-12-08T14:00:00+00:00,82,Montpellier,Lens,False,0,2,L
1213878,2024-12-15T14:00:00+00:00,82,Montpellier,Nice,True,2,2,D
1213883,2025-01-04T20:00:00+00:00,82,Montpellier,Lyon,False,0,1,L
1213896,2025-01-12T16:15:00+00:00,82,Montpellier,Angers,True,1,3,L
1213905,2025-01-17T18:00:00+00:00,82,Montpellier,Monaco,True,2,1,W
1213912,2025-01-26T16:15:00+00:00,82,Montpellier,Toulouse,False,2,1,W
1213920,2025-01-31T19:45:00+00:00,82,Montpellier,Lens,True,0,2,L
1213929,2025-02-09T16:15:00+00:00,82,Montpellier,Strasbourg,False,0,2,L
1213938,2025-02-16T14:00:00+00:00,82,Montpellier,Lyon,True,1,4,L
1213952,2025-02-23T16:15:00+00:00,82,Montpellier,Nice,False,0,2,L
1213957,2025-03-02T16:15:00+00:00,82,Montpellier,Rennes,True,0,4,L
1213969,2025-03-08T18:00:00+00:00,82,Montpellier,Lille,False,0,1,L
1213974,2025-03-16T16:15:00+00:00,82,Montpellier,Saint Etienne,True,0,2,L
1213982,2025-03-30T15:15:00+00:00,82,Montpellier,Auxerre,False,0,1,L
1213993,2025-04-06T15:15:00+00:00,82,Montpellier,Le Havre,True,0,2,L
1214005,2025-04-13T15:15:00+00:00,82,Montpellier,Angers,False,0,2,L
1214013,2025-04-19T19:05:00+00:00,82,Montpellier,Marseille,False,1,5,L
1214020,2025-04-27T15:15:00+00:00,82,Montpellier,Reims,True,0,0,D
1214029,2025-05-04T15:15:00+00:00,82,Montpellier,Stade Brestois 29,False,0,1,L
1214040,2025-05-10T19:00:00+00:00,82,Montpellier,Paris Saint Germain,True,1,4,L
1214050,2025-05-17T19:00:00+00:00,82,Montpellier,Nantes,False,0,3,L
