fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871473,2022-08-07T11:00:00+00:00,84,Nice,Toulouse,False,1,1,D
871485,2022-08-14T15:05:00+00:00,84,Nice,Strasbourg,True,1,1,D
871492,2022-08-21T13:00:00+00:00,84,Nice,Clermont Foot,False,0,1,L
871504,2022-08-28T13:00:00+00:00,84,Nice,Marseille,True,0,3,L
871512,2022-08-31T19:00:00+00:00,84,Nice,Lille,False,2,1,W
871525,2022-09-04T18:45:00+00:00,84,Nice,Monaco,True,0,1,L
871530,2022-09-11T13:00:00+00:00,84,Nice,Ajaccio,False,1,0,W
871545,2022-09-18T13:00:00+00:00,84,Nice,Angers,True,0,1,L
871555,2022-10-01T19:00:00+00:00,84,Nice,Paris Saint Germain,False,1,2,L
871564,2022-10-09T13:00:00+00:00,84,Nice,Estac Troyes,True,3,2,W
871570,2022-10-16T13:00:00+00:00,84,Nice,Auxerre,False,1,1,D
871585,2022-10-23T15:05:00+00:00,84,Nice,Nantes,True,1,1,D
871592,2022-10-30T16:05:00+00:00,84,Nice,Lorient,False,2,1,W
871605,2022-11-06T14:00:00+00:00,84,Nice,Stade Brestois 29,True,1,0,W
871614,2022-11-11T20:00:00+00:00,84,Nice,Lyon,False,1,1,D
871624,2022-12-29T20:00:00+00:00,84,Nice,Lens,True,0,0,D
871635,2023-01-02T20:00:00+00:00,84,Nice,Rennes,False,1,2,L
871645,2023-01-11T20:00:00+00:00,84,Nice,Montpellier,True,6,1,W
871658,2023-01-15T14:00:00+00:00,84,Nice,Reims,False,0,0,D
871664,2023-01-29T12:00:00+00:00,84,Nice,Lille,True,1,0,W
871677,2023-02-01T20:00:00+00:00,84,Nice,Lens,False,1,0,W
871684,2023-02-05T19:45:00+00:00,84,Nice,Marseille,False,3,1,W
871696,2023-02-10T20:00:00+00:00,84,Nice,Ajaccio,True,3,0,W
871702,2023-02-18T16:00:00+00:00,84,Nice,Reims,True,0,0,D
871711,2023-02-26T16:05:00+00:00,84,Nice,Monaco,False,3,0,W
871721,2023-03-03T20:00:00+00:00,84,Nice,Auxerre,True,1,1,D
871736,2023-03-12T14:00:00+00:00,84,Nice,Nantes,False,2,2,D
871742,2023-03-19T14:00:00+00:00,84,Nice,Lorient,True,1,1,D
871752,2023-04-02T13:00:00+00:00,84,Nice,Angers,False,1,1,D
871765,2023-04-08T19:00:00+00:00,84,Nice,Paris Saint Germain,True,0,2,L
871777,2023-04-16T13:00:00+00:00,84,Nice,Stade Brestois 29,False,0,1,L
871786,2023-04-23T13:00:00+00:00,84,Nice,Clermont Foot,True,1,2,L
871799,2023-04-30T13:00:00+00:00,84,Nice,Estac Troyes,False,1,0,W
871805,2023-05-06T15:00:00+00:00,84,Nice,Rennes,True,2,1,W
871816,2023-05-13T15:00:00+00:00,84,Nice,Strasbourg,False,0,2,L
871825,2023-05-21T13:00:00+00:00,84,Nice,Toulouse,True,0,0,D
871833,2023-05-27T19:00:00+00:00,84,Nice,Montpellier,False,3,2,W
871845,2023-06-03T19:00:00+00:00,84,Nice,Lyon,True,3,1,W
1044885,2023-08-11T19:00:00+00:00,84,Nice,Lille,True,1,1,D
1044891,2023-08-20T13:00:00+00:00,84,Nice,Lorient,False,1,1,D
1044904,2023-08-27T18:45:00+00:00,84,Nice,Lyon,True,0,0,D
1044912,2023-09-03T15:05:00+00:00,84,Nice,Strasbourg,True,2,0,W
1044917,2023-09-15T19:00:00+00:00,84,Nice,Paris Saint Germain,False,3,2,W
1044927,2023-09-22T19:00:00+00:00,84,Nice,Monaco,False,1,0,W
1044940,2023-10-01T13:00:00+00:00,84,Nice,Stade Brestois 29,True,0,0,D
1044950,2023-10-07T15:00:00+00:00,84,Nice,Metz,False,1,0,W
1044959,2023-10-21T19:00:00+00:00,84,Nice,Marseille,True,1,0,W
1044965,2023-10-27T19:00:00+00:00,84,Nice,Clermont Foot,False,1,0,W
1044978,2023-11-05T19:45:00+00:00,84,Nice,Rennes,True,2,0,W
1044987,2023-11-10T20:00:00+00:00,84,Nice,Montpellier,False,0,0,D
1044994,2023-11-26T12:00:00+00:00,84,Nice,Toulouse,True,1,0,W
1045004,2023-12-02T20:00:00+00:00,84,Nice,Nantes,False,0,1,L
1045012,2023-12-10T12:00:00+00:00,84,Nice,Reims,True,2,1,W
1045023,2023-12-16T16:00:00+00:00,84,Nice,Le Havre,False,1,3,L
1045029,2023-12-20T20:00:00+00:00,84,Nice,Lens,True,2,0,W
1045034,2024-01-13T20:00:00+00:00,84,Nice,Rennes,False,0,2,L
1045048,2024-01-27T16:00:00+00:00,84,Nice,Metz,True,1,0,W
1045060,2024-02-04T16:05:00+00:00,84,Nice,Stade Brestois 29,False,0,0,D
1045065,2024-02-11T19:45:00+00:00,84,Nice,Monaco,True,2,3,L
1045074,2024-02-16T20:00:00+00:00,84,Nice,Lyon,False,0,1,L
1045084,2024-02-25T14:00:00+00:00,84,Nice,Clermont Foot,True,0,0,D
1045089,2024-03-03T12:00:00+00:00,84,Nice,Toulouse,False,1,2,L
1045102,2024-03-08T20:00:00+00:00,84,Nice,Montpellier,True,1,2,L
1045111,2024-03-16T20:00:00+00:00,84,Nice,Lens,False,3,1,W
1045120,2024-03-31T13:00:00+00:00,84,Nice,Nantes,True,1,2,L
1045128,2024-04-07T13:00:00+00:00,84,Nice,Reims,False,0,0,D
1045145,2024-04-19T19:00:00+00:00,84,Nice,Lorient,True,3,0,W
1045135,2024-04-24T19:00:00+00:00,84,Nice,Marseille,False,2,2,D
1045152,2024-04-28T13:00:00+00:00,84,Nice,Strasbourg,False,3,1,W
1045173,2024-05-10T19:00:00+00:00,84,Nice,Le Havre,True,1,0,W
1045163,2024-05-15T19:00:00+00:00,84,Nice,Paris Saint Germain,True,1,2,L
1045181,2024-05-19T19:00:00+00:00,84,Nice,Lille,False,2,2,D
1213753,2024-08-18T13:00:00+00:00,84,Nice,Auxerre,False,1,2,L
1213761,2024-08-25T15:00:00+00:00,84,Nice,Toulouse,True,1,1,D
1213769,2024-09-01T15:00:00+00:00,84,Nice,Angers,False,4,1,W
1213781,2024-09-14T15:00:00+00:00,84,Nice,Marseille,False,0,2,L
1213784,2024-09-20T18:45:00+00:00,84,Nice,Saint Etienne,True,8,0,W
1213795,2024-09-28T15:00:00+00:00,84,Nice,Lens,False,0,0,D
1213802,2024-10-06T18:45:00+00:00,84,Nice,Paris Saint Germain,True,1,1,D
1213813,2024-10-20T15:00:00+00:00,84,Nice,Nantes,False,1,1,D
1213819,2024-10-27T15:00:00+00:00,84,Nice,Monaco,True,2,1,W
1213835,2024-11-02T18:00:00+00:00,84,Nice,Stade Brestois 29,False,1,0,W
1213844,2024-11-10T14:00:00+00:00,84,Nice,Lille,True,2,2,D
1213848,2024-11-24T19:45:00+00:00,84,Nice,Strasbourg,True,2,1,W
1213863,2024-12-01T16:00:00+00:00,84,Nice,Lyon,False,1,4,L
1213864,2024-12-07T18:00:00+00:00,84,Nice,Le Havre,True,2,1,W
1213878,2024-12-15T14:00:00+00:00,84,Nice,Montpellier,False,2,2,D
1213890,2025-01-03T20:00:00+00:00,84,Nice,Rennes,True,3,2,W
1213894,2025-01-11T18:00:00+00:00,84,Nice,Reims,False,4,2,W
1213902,2025-01-17T20:05:00+00:00,84,Nice,Lille,False,1,2,L
1213917,2025-01-26T19:45:00+00:00,84,Nice,Marseille,True,2,0,W
1213924,2025-02-02T14:00:00+00:00,84,Nice,Toulouse,False,1,1,D
1213935,2025-02-08T16:00:00+00:00,84,Nice,Lens,True,2,0,W
1213943,2025-02-16T16:15:00+00:00,84,Nice,Le Havre,False,3,1,W
1213952,2025-02-23T16:15:00+00:00,84,Nice,Montpellier,True,2,0,W
1213958,2025-03-01T16:00:00+00:00,84,Nice,Saint Etienne,False,3,1,W
1213967,2025-03-09T19:45:00+00:00,84,Nice,Lyon,True,0,2,L
1213973,2025-03-14T19:45:00+00:00,84,Nice,Auxerre,True,1,1,D
1213989,2025-03-29T20:05:00+00:00,84,Nice,Monaco,False,1,2,L
1213991,2025-04-04T18:45:00+00:00,84,Nice,Nantes,True,1,2,L
1214003,2025-04-12T19:05:00+00:00,84,Nice,Strasbourg,False,2,2,D
1214009,2025-04-20T15:15:00+00:00,84,Nice,Angers,True,2,1,W
1214023,2025-04-25T18:45:00+00:00,84,Nice,Paris Saint Germain,False,3,1,W
1214028,2025-05-02T18:45:00+00:00,84,Nice,Reims,True,1,0,W
1214039,2025-05-10T19:00:00+00:00,84,Nice,Rennes,False,0,2,L
1214046,2025-05-17T19:00:00+00:00,84,Nice,Stade Brestois 29,True,6,0,W
