fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
1223600,2024-08-19T18:45:00+00:00,895,Como,Juventus,False,0,3,L
1223605,2024-08-26T16:30:00+00:00,895,Como,Cagliari,False,1,1,D
1223623,2024-09-01T18:45:00+00:00,895,Como,Udinese,False,0,1,L
1223627,2024-09-14T13:00:00+00:00,895,Como,Bologna,True,2,2,D
1223635,2024-09-24T18:45:00+00:00,895,Como,Atalanta,False,3,2,W
1223646,2024-09-29T13:00:00+00:00,895,Como,Hellas Verona,True,3,2,W
1223663,2024-10-04T16:30:00+00:00,895,Como,Napoli,False,1,3,L
1223666,2024-10-19T13:00:00+00:00,895,Como,Parma,True,1,1,D
1223683,2024-10-25T18:45:00+00:00,895,Como,Torino,False,0,1,L
1223687,2024-10-31T19:45:00+00:00,895,Como,Lazio,True,1,5,L
1223696,2024-11-04T17:30:00+00:00,895,Como,Empoli,False,0,1,L
1223708,2024-11-07T19:45:00+00:00,895,Como,Genoa,False,1,1,D
1223715,2024-11-24T14:00:00+00:00,895,Como,Fiorentina,True,0,2,L
1223727,2024-11-30T14:00:00+00:00,895,Como,Monza,True,1,1,D
1223744,2024-12-08T17:00:00+00:00,895,Como,Venezia,False,2,2,D
1223747,2024-12-15T17:00:00+00:00,895,Como,AS Roma,True,2,0,W
1223759,2024-12-23T19:45:00+00:00,895,Como,Inter,False,0,2,L
1223767,2024-12-30T17:30:00+00:00,895,Como,Lecce,True,2,0,W
1223788,2025-01-10T19:45:00+00:00,895,Como,Lazio,False,1,1,D
1223776,2025-01-14T17:30:00+00:00,895,Como,AC Milan,True,1,2,L
1223798,2025-01-20T19:45:00+00:00,895,Como,Udinese,True,4,1,W
1223805,2025-01-25T14:00:00+00:00,895,Como,Atalanta,True,1,2,L
1223816,2025-02-01T19:45:00+00:00,895,Como,Bologna,False,0,2,L
1223826,2025-02-07T19:45:00+00:00,895,Como,Juventus,True,1,2,L
1223837,2025-02-16T11:30:00+00:00,895,Como,Fiorentina,False,2,0,W
1223846,2025-02-23T11:30:00+00:00,895,Como,Napoli,True,2,1,W
1223863,2025-03-02T17:00:00+00:00,895,Como,AS Roma,False,1,2,L
1223866,2025-03-08T14:00:00+00:00,895,Como,Venezia,True,1,1,D
1223879,2025-03-15T17:00:00+00:00,895,Como,AC Milan,False,1,2,L
1223886,2025-03-29T14:00:00+00:00,895,Como,Empoli,True,1,1,D
1223901,2025-04-05T13:00:00+00:00,895,Como,Monza,False,3,1,W
1223906,2025-04-13T16:00:00+00:00,895,Como,Torino,True,1,0,W
1223919,2025-04-19T13:00:00+00:00,895,Como,Lecce,False,3,0,W
1223926,2025-04-27T10:30:00+00:00,895,Como,Genoa,True,1,0,W
1223942,2025-05-03T13:00:00+00:00,895,Como,Parma,False,1,0,W
1223946,2025-05-10T13:00:00+00:00,895,Como,Cagliari,True,3,1,W
1223958,2025-05-18T18:45:00+00:00,895,Como,Hellas Verona,False,1,1,D
1223967,2025-05-23T18:45:00+00:00,895,Como,Inter,True,0,2,L
