fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871470,2022-08-06T15:00:00+00:00,91,Monaco,Strasbourg,False,2,1,W
871482,2022-08-13T15:00:00+00:00,91,Monaco,Rennes,True,1,1,D
871490,2022-08-20T15:00:00+00:00,91,Monaco,Lens,True,1,4,L
871505,2022-08-28T18:45:00+00:00,91,Monaco,Paris Saint Germain,False,1,1,D
871510,2022-08-31T17:00:00+00:00,91,Monaco,Estac Troyes,True,2,4,L
871525,2022-09-04T18:45:00+00:00,91,Monaco,Nice,False,1,0,W
871531,2022-09-11T18:45:00+00:00,91,Monaco,Lyon,True,2,1,W
871549,2022-09-18T11:00:00+00:00,91,Monaco,Reims,False,3,0,W
871552,2022-10-02T15:05:00+00:00,91,Monaco,Nantes,True,4,1,W
871563,2022-10-09T11:00:00+00:00,91,Monaco,Montpellier,False,2,0,W
871571,2022-10-16T15:05:00+00:00,91,Monaco,Clermont Foot,True,1,1,D
871583,2022-10-23T18:45:00+00:00,91,Monaco,Lille,False,3,4,L
871591,2022-10-30T14:00:00+00:00,91,Monaco,Angers,True,2,0,W
871608,2022-11-06T14:00:00+00:00,91,Monaco,Toulouse,False,2,0,W
871610,2022-11-13T19:45:00+00:00,91,Monaco,Marseille,True,2,3,L
871621,2022-12-28T16:00:00+00:00,91,Monaco,Auxerre,False,3,2,W
871630,2023-01-01T14:00:00+00:00,91,Monaco,Stade Brestois 29,True,1,0,W
871643,2023-01-11T20:00:00+00:00,91,Monaco,Lorient,False,2,2,D
871650,2023-01-15T16:05:00+00:00,91,Monaco,Ajaccio,True,7,1,W
871665,2023-01-28T20:00:00+00:00,91,Monaco,Marseille,False,1,1,D
871673,2023-02-01T20:00:00+00:00,91,Monaco,Auxerre,True,3,2,W
871682,2023-02-05T12:00:00+00:00,91,Monaco,Clermont Foot,False,2,0,W
871690,2023-02-11T16:00:00+00:00,91,Monaco,Paris Saint Germain,True,3,1,W
871706,2023-02-19T14:00:00+00:00,91,Monaco,Stade Brestois 29,False,2,1,W
871711,2023-02-26T16:05:00+00:00,91,Monaco,Nice,True,0,3,L
871729,2023-03-05T12:00:00+00:00,91,Monaco,Estac Troyes,False,2,2,D
871732,2023-03-12T16:05:00+00:00,91,Monaco,Reims,True,0,1,L
871740,2023-03-19T12:00:00+00:00,91,Monaco,Ajaccio,False,2,0,W
871751,2023-04-02T15:05:00+00:00,91,Monaco,Strasbourg,True,4,3,W
871763,2023-04-09T15:05:00+00:00,91,Monaco,Nantes,False,2,2,D
871771,2023-04-16T15:05:00+00:00,91,Monaco,Lorient,True,3,1,W
871788,2023-04-22T19:00:00+00:00,91,Monaco,Lens,False,0,3,L
871790,2023-04-30T11:00:00+00:00,91,Monaco,Montpellier,True,0,4,L
