fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871473,2022-08-07T11:00:00+00:00,96,Toulouse,Nice,True,1,1,D
871489,2022-08-14T13:00:00+00:00,96,Toulouse,Estac Troyes,False,3,0,W
871499,2022-08-21T13:00:00+00:00,96,Toulouse,Lorient,True,2,2,D
871503,2022-08-28T11:00:00+00:00,96,Toulouse,Nantes,False,1,3,L
871519,2022-08-31T19:00:00+00:00,96,Toulouse,Paris Saint Germain,True,0,3,L
871522,2022-09-04T13:00:00+00:00,96,Toulouse,Clermont Foot,False,0,2,L
871539,2022-09-11T13:00:00+00:00,96,Toulouse,Reims,True,1,0,W
871543,2022-09-17T19:00:00+00:00,96,Toulouse,Lille,False,1,2,L
871558,2022-10-02T13:00:00+00:00,96,Toulouse,Montpellier,True,4,2,W
871565,2022-10-07T19:00:00+00:00,96,Toulouse,Lyon,False,1,1,D
871578,2022-10-16T11:00:00+00:00,96,Toulouse,Angers,True,3,2,W
871588,2022-10-23T13:00:00+00:00,96,Toulouse,Strasbourg,True,2,2,D
871596,2022-10-28T19:00:00+00:00,96,Toulouse,Lens,False,0,3,L
871608,2022-11-06T14:00:00+00:00,96,Toulouse,Monaco,True,0,2,L
871619,2022-11-12T20:00:00+00:00,96,Toulouse,Rennes,False,1,2,L
871625,2022-12-29T20:00:00+00:00,96,Toulouse,Marseille,False,1,6,L
871636,2023-01-01T14:00:00+00:00,96,Toulouse,Ajaccio,True,2,0,W
871641,2023-01-11T18:00:00+00:00,96,Toulouse,Auxerre,False,5,0,W
871659,2023-01-15T14:00:00+00:00,96,Toulouse,Stade Brestois 29,True,1,1,D
871667,2023-01-29T14:00:00+00:00,96,Toulouse,Strasbourg,False,2,1,W
871679,2023-02-01T18:00:00+00:00,96,Toulouse,Estac Troyes,True,4,1,W
871685,2023-02-04T16:00:00+00:00,96,Toulouse,Paris Saint Germain,False,1,2,L
871699,2023-02-12T12:00:00+00:00,96,Toulouse,Rennes,True,3,1,W
871708,2023-02-19T19:45:00+00:00,96,Toulouse,Marseille,True,2,3,L
871719,2023-02-26T14:00:00+00:00,96,Toulouse,Reims,False,0,3,L
871728,2023-03-05T14:00:00+00:00,96,Toulouse,Clermont Foot,True,0,1,L
871733,2023-03-12T14:00:00+00:00,96,Toulouse,Angers,False,2,0,W
871748,2023-03-18T16:00:00+00:00,96,Toulouse,Lille,True,0,2,L
871758,2023-04-02T13:00:00+00:00,96,Toulouse,Stade Brestois 29,False,1,3,L
871764,2023-04-09T13:00:00+00:00,96,Toulouse,Montpellier,False,2,1,W
871779,2023-04-14T19:00:00+00:00,96,Toulouse,Lyon,True,1,2,L
871783,2023-04-23T13:00:00+00:00,96,Toulouse,Lorient,False,1,0,W
871798,2023-05-02T19:00:00+00:00,96,Toulouse,Lens,True,0,1,L
871800,2023-05-07T13:00:00+00:00,96,Toulouse,Ajaccio,False,0,0,D
871819,2023-05-14T14:30:00+00:00,96,Toulouse,Nantes,True,0,0,D
871825,2023-05-21T13:00:00+00:00,96,Toulouse,Nice,False,0,0,D
871839,2023-05-27T19:00:00+00:00,96,Toulouse,Auxerre,True,1,1,D
871842,2023-06-03T19:00:00+00:00,96,Toulouse,Monaco,False,2,1,W
1044887,2023-08-13T13:00:00+00:00,96,Toulouse,Nantes,False,2,1,W
1044890,2023-08-19T19:00:00+00:00,96,Toulouse,Paris Saint Germain,True,1,1,D
1044900,2023-08-27T13:00:00+00:00,96,Toulouse,Strasbourg,False,0,2,L
1044908,2023-09-03T11:00:00+00:00,96,Toulouse,Clermont Foot,True,2,2,D
1044920,2023-09-17T15:05:00+00:00,96,Toulouse,Marseille,False,0,0,D
1044929,2023-09-24T13:00:00+00:00,96,Toulouse,Lens,False,1,2,L
1044937,2023-10-01T13:00:00+00:00,96,Toulouse,Metz,True,3,0,W
1044952,2023-10-08T13:00:00+00:00,96,Toulouse,Stade Brestois 29,False,1,1,D
1044954,2023-10-22T13:00:00+00:00,96,Toulouse,Reims,True,1,1,D
1044969,2023-10-29T14:00:00+00:00,96,Toulouse,Montpellier,False,0,3,L
1044973,2023-11-05T14:00:00+00:00,96,Toulouse,Le Havre,True,1,2,L
1044981,2023-11-12T14:00:00+00:00,96,Toulouse,Lille,False,1,1,D
1044994,2023-11-26T12:00:00+00:00,96,Toulouse,Nice,False,0,1,L
1044998,2023-12-03T14:00:00+00:00,96,Toulouse,Lorient,True,1,1,D
1045011,2023-12-10T16:05:00+00:00,96,Toulouse,Lyon,False,0,3,L
1045016,2023-12-17T14:00:00+00:00,96,Toulouse,Rennes,True,0,0,D
1045027,2023-12-20T20:00:00+00:00,96,Toulouse,Monaco,True,1,2,L
1045040,2024-01-14T14:00:00+00:00,96,Toulouse,Metz,False,1,0,W
1045044,2024-01-28T16:05:00+00:00,96,Toulouse,Lens,True,0,2,L
1045057,2024-02-04T14:00:00+00:00,96,Toulouse,Reims,False,3,2,W
1045062,2024-02-11T14:00:00+00:00,96,Toulouse,Nantes,True,1,2,L
1045072,2024-02-18T14:00:00+00:00,96,Toulouse,Monaco,False,2,1,W
1045081,2024-02-25T14:00:00+00:00,96,Toulouse,Lille,True,3,1,W
1045089,2024-03-03T12:00:00+00:00,96,Toulouse,Nice,True,2,1,W
1045104,2024-03-10T14:00:00+00:00,96,Toulouse,Le Havre,False,0,1,L
1045107,2024-03-15T20:00:00+00:00,96,Toulouse,Lyon,True,2,3,L
1045121,2024-03-31T13:00:00+00:00,96,Toulouse,Clermont Foot,False,3,0,W
1045125,2024-04-07T13:00:00+00:00,96,Toulouse,Strasbourg,True,0,0,D
1045134,2024-04-13T19:00:00+00:00,96,Toulouse,Rennes,False,2,1,W
1045143,2024-04-21T17:00:00+00:00,96,Toulouse,Marseille,True,2,2,D
1045155,2024-04-28T13:00:00+00:00,96,Toulouse,Lorient,False,2,1,W
1045160,2024-05-03T17:00:00+00:00,96,Toulouse,Montpellier,True,1,2,L
1045169,2024-05-12T19:00:00+00:00,96,Toulouse,Paris Saint Germain,False,3,1,W
1045178,2024-05-19T19:00:00+00:00,96,Toulouse,Stade Brestois 29,True,0,3,L
1213749,2024-08-18T15:00:00+00:00,96,Toulouse,Nantes,True,0,0,D
1213761,2024-08-25T15:00:00+00:00,96,Toulouse,Nice,False,1,1,D
1213773,2024-08-31T19:00:00+00:00,96,Toulouse,Marseille,True,1,3,L
1213778,2024-09-15T15:00:00+00:00,96,Toulouse,Le Havre,True,2,0,W
1213786,2024-09-22T15:00:00+00:00,96,Toulouse,Stade Brestois 29,False,0,2,L
1213798,2024-09-29T13:00:00+00:00,96,Toulouse,Lyon,True,1,2,L
1213803,2024-10-05T17:00:00+00:00,96,Toulouse,Lille,False,1,2,L
1213811,2024-10-20T15:00:00+00:00,96,Toulouse,Angers,True,1,1,D
1213823,2024-10-27T15:00:00+00:00,96,Toulouse,Montpellier,False,3,0,W
1213829,2024-11-03T14:00:00+00:00,96,Toulouse,Reims,True,1,0,W
1213843,2024-11-10T16:00:00+00:00,96,Toulouse,Rennes,False,2,0,W
1213846,2024-11-22T20:00:00+00:00,96,Toulouse,Paris Saint Germain,False,0,3,L
1213858,2024-12-01T16:00:00+00:00,96,Toulouse,Auxerre,True,2,0,W
1213872,2024-12-07T16:00:00+00:00,96,Toulouse,Monaco,False,0,2,L
1213877,2024-12-13T19:45:00+00:00,96,Toulouse,Saint Etienne,True,2,1,W
1213884,2025-01-05T14:00:00+00:00,96,Toulouse,Lens,False,1,0,W
1213891,2025-01-12T16:15:00+00:00,96,Toulouse,Strasbourg,True,1,2,L
1213903,2025-01-18T20:05:00+00:00,96,Toulouse,Lyon,False,0,0,D
1213912,2025-01-26T16:15:00+00:00,96,Toulouse,Montpellier,True,1,2,L
1213924,2025-02-02T14:00:00+00:00,96,Toulouse,Nice,True,1,1,D
1213927,2025-02-09T16:15:00+00:00,96,Toulouse,Auxerre,False,2,2,D
1213936,2025-02-15T20:05:00+00:00,96,Toulouse,Paris Saint Germain,True,0,1,L
1213946,2025-02-23T16:15:00+00:00,96,Toulouse,Le Havre,False,4,1,W
1213962,2025-03-02T16:15:00+00:00,96,Toulouse,Angers,False,4,0,W
1213966,2025-03-07T19:45:00+00:00,96,Toulouse,Monaco,True,1,1,D
1213978,2025-03-16T16:15:00+00:00,96,Toulouse,Strasbourg,False,1,2,L
1213985,2025-03-30T13:00:00+00:00,96,Toulouse,Stade Brestois 29,True,2,4,L
1213990,2025-04-06T18:45:00+00:00,96,Toulouse,Marseille,False,2,3,L
1213999,2025-04-12T17:00:00+00:00,96,Toulouse,Lille,True,1,2,L
1214014,2025-04-20T15:15:00+00:00,96,Toulouse,Reims,False,0,1,L
1214019,2025-04-27T15:15:00+00:00,96,Toulouse,Nantes,False,0,0,D
1214032,2025-05-03T17:00:00+00:00,96,Toulouse,Rennes,True,2,1,W
1214041,2025-05-10T19:00:00+00:00,96,Toulouse,Lens,True,1,1,D
1214047,2025-05-17T19:00:00+00:00,96,Toulouse,Saint Etienne,False,3,2,W
