fixture_id,date,team_id,team_name,opponent,is_home,goals_scored,goals_conceded,result
871472,2022-08-06T19:00:00+00:00,99,Clermont Foot,Paris Saint Germain,True,0,5,L
871488,2022-08-14T13:00:00+00:00,99,Clermont Foot,Reims,False,4,2,W
871492,2022-08-21T13:00:00+00:00,99,Clermont Foot,Nice,True,1,0,W
871502,2022-08-28T13:00:00+00:00,99,Clermont Foot,Lorient,False,1,2,L
871515,2022-08-31T19:00:00+00:00,99,Clermont Foot,Marseille,False,0,1,L
871522,2022-09-04T13:00:00+00:00,99,Clermont Foot,Toulouse,True,2,0,W
871537,2022-09-11T11:00:00+00:00,99,Clermont Foot,Strasbourg,False,0,0,D
871541,2022-09-18T13:00:00+00:00,99,Clermont Foot,Estac Troyes,True,1,3,L
871550,2022-10-02T13:00:00+00:00,99,Clermont Foot,Ajaccio,False,3,1,W
871561,2022-10-09T13:00:00+00:00,99,Clermont Foot,Auxerre,True,2,1,W
871571,2022-10-16T15:05:00+00:00,99,Clermont Foot,Monaco,False,1,1,D
871582,2022-10-23T13:00:00+00:00,99,Clermont Foot,Stade Brestois 29,True,1,3,L
871593,2022-10-30T14:00:00+00:00,99,Clermont Foot,Nantes,False,1,1,D
871602,2022-11-06T14:00:00+00:00,99,Clermont Foot,Montpellier,True,1,1,D
871616,2022-11-12T16:00:00+00:00,99,Clermont Foot,Lens,False,1,2,L
871622,2022-12-28T18:00:00+00:00,99,Clermont Foot,Lille,True,0,2,L
871633,2023-01-01T16:00:00+00:00,99,Clermont Foot,Lyon,False,1,0,W
871642,2023-01-11T18:00:00+00:00,99,Clermont Foot,Rennes,True,2,1,W
871651,2023-01-15T14:00:00+00:00,99,Clermont Foot,Angers,False,2,1,W
871662,2023-01-29T14:00:00+00:00,99,Clermont Foot,Nantes,True,0,0,D
871675,2023-02-01T18:00:00+00:00,99,Clermont Foot,Lille,False,0,0,D
871682,2023-02-05T12:00:00+00:00,99,Clermont Foot,Monaco,True,0,2,L
871692,2023-02-11T20:00:00+00:00,99,Clermont Foot,Marseille,True,0,2,L
871707,2023-02-19T14:00:00+00:00,99,Clermont Foot,Rennes,False,0,2,L
871713,2023-02-26T14:00:00+00:00,99,Clermont Foot,Strasbourg,True,1,1,D
871728,2023-03-05T14:00:00+00:00,99,Clermont Foot,Toulouse,False,1,0,W
871734,2023-03-12T12:00:00+00:00,99,Clermont Foot,Lens,True,0,4,L
871741,2023-03-19T14:00:00+00:00,99,Clermont Foot,Montpellier,False,1,2,L
871753,2023-04-02T13:00:00+00:00,99,Clermont Foot,Ajaccio,True,2,1,W
871769,2023-04-09T13:00:00+00:00,99,Clermont Foot,Estac Troyes,False,2,0,W
871772,2023-04-16T13:00:00+00:00,99,Clermont Foot,Angers,True,2,1,W
871786,2023-04-23T13:00:00+00:00,99,Clermont Foot,Nice,False,2,1,W
871791,2023-04-30T13:00:00+00:00,99,Clermont Foot,Reims,True,1,0,W
871801,2023-05-07T13:00:00+00:00,99,Clermont Foot,Auxerre,False,1,1,D
871811,2023-05-14T11:00:00+00:00,99,Clermont Foot,Lyon,True,2,1,W
871827,2023-05-21T13:00:00+00:00,99,Clermont Foot,Stade Brestois 29,False,1,2,L
871831,2023-05-27T19:00:00+00:00,99,Clermont Foot,Lorient,True,2,0,W
871846,2023-06-03T19:00:00+00:00,99,Clermont Foot,Paris Saint Germain,False,3,2,W
1044886,2023-08-13T13:00:00+00:00,99,Clermont Foot,Monaco,True,2,4,L
1044895,2023-08-20T13:00:00+00:00,99,Clermont Foot,Reims,False,0,2,L
1044905,2023-08-27T13:00:00+00:00,99,Clermont Foot,Metz,True,0,1,L
1044908,2023-09-03T11:00:00+00:00,99,Clermont Foot,Toulouse,False,2,2,D
1044923,2023-09-17T13:00:00+00:00,99,Clermont Foot,Nantes,True,0,1,L
1044931,2023-09-24T13:00:00+00:00,99,Clermont Foot,Le Havre,False,1,2,L
1044941,2023-09-30T15:00:00+00:00,99,Clermont Foot,Paris Saint Germain,True,0,0,D
1044958,2023-10-22T18:45:00+00:00,99,Clermont Foot,Lyon,False,2,1,W
1044965,2023-10-27T19:00:00+00:00,99,Clermont Foot,Nice,True,0,1,L
1044972,2023-11-05T14:00:00+00:00,99,Clermont Foot,Strasbourg,False,0,0,D
1044982,2023-11-12T14:00:00+00:00,99,Clermont Foot,Lorient,True,1,0,W
1044995,2023-11-25T16:00:00+00:00,99,Clermont Foot,Lens,True,0,3,L
1044951,2023-11-29T18:00:00+00:00,99,Clermont Foot,Montpellier,False,1,1,D
1045006,2023-12-03T14:00:00+00:00,99,Clermont Foot,Stade Brestois 29,False,0,3,L
1045013,2023-12-10T14:00:00+00:00,99,Clermont Foot,Lille,True,0,0,D
1045017,2023-12-17T16:05:00+00:00,99,Clermont Foot,Marseille,False,1,2,L
1045030,2023-12-20T20:00:00+00:00,99,Clermont Foot,Rennes,True,1,3,L
1045038,2024-01-14T14:00:00+00:00,99,Clermont Foot,Nantes,False,2,1,W
1045049,2024-01-28T14:00:00+00:00,99,Clermont Foot,Strasbourg,True,1,1,D
1045055,2024-02-04T14:00:00+00:00,99,Clermont Foot,Lille,False,0,4,L
1045066,2024-02-11T14:00:00+00:00,99,Clermont Foot,Stade Brestois 29,True,1,1,D
1045071,2024-02-18T14:00:00+00:00,99,Clermont Foot,Rennes,False,1,3,L
1045084,2024-02-25T14:00:00+00:00,99,Clermont Foot,Nice,False,0,0,D
1045092,2024-03-02T20:00:00+00:00,99,Clermont Foot,Marseille,True,1,5,L
